area_id,service_category,nearest_service_distance_km,service_count_within_threshold,distance_component,availability_component,accessibility_score,accessibility_method,accessibility_basis,accessibility_version,accessibility_formula_id,formula_set_version,taxonomy_version,service_snapshot_id,service_snapshot_date,service_snapshot_total_rows,service_snapshot_mappable_rows
A001,Employment,0.45,6,82.08,67.32,74.7,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A001,Family Services,0.34,35,86.22,88.63,87.42,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A001,Food Support,0.2,24,92.02,84.56,88.29,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A001,General Support,0.24,108,90.38,89.68,90.03,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A001,Health & Mental Health,0.45,46,82.08,83.07,82.57,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A001,Housing & Shelter,0.45,34,82.08,82.1,82.09,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A001,Legal Aid,0.53,23,78.87,100.0,89.44,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A001,Newcomer Support,0.45,10,82.08,93.49,87.78,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A001,Senior Support,0.45,11,82.08,100.0,91.04,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A002,Employment,0.74,4,70.59,55.68,63.14,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
A002,Family Services,0.81,20,67.56,75.3,71.43,relative straight-line distance and log availability; threshold 2.5 km; weights 0.5/0.5,services_master_mappable_relative_12_area,services-master-relative-v1,ACCESS-REAL-02,scoring-contract-02,planning-needs-9-v1,97c29b249d986c4ffa5de6fe21400dc99dd5121f6026bda0a779116869806c1b,2026-07-28,3664,3200
