area_id,area_name,borough_name,latitude,longitude,population,population_basis,income_indicator,age_indicator,language_indicator,immigration_indicator,housing_indicator,structural_vulnerability_score,vulnerability_score,structural_vulnerability_rank,vulnerability_rank,top_vulnerability_drivers,structural_formula_id,score_basis,score_version,source_year,source_geography_level,source_geography_name
A003,Cote-des-Neiges,Cote-des-Neiges-Notre-Dame-de-Grace,45.483647,-73.62699,52400,synthetic_demo_not_for_scoring,97.01,26.45,22.78,100.0,75.7,64.39,64.39,1,1,newcomer support need; income pressure; housing pressure,STRUCT-01,statcan-2021-equal5-borough,structural-v1,2021,borough,Cote-des-Neiges-Notre-Dame-de-Grace
A001,Parc Extension,Villeray-Saint-Michel-Parc-Extension,45.536212,-73.630736,31200,synthetic_demo_not_for_scoring,100.0,12.21,100.0,57.67,44.45,62.87,62.87,2,2,income pressure; language access need; newcomer support need,STRUCT-01,statcan-2021-equal5-borough,structural-v1,2021,borough,Villeray-Saint-Michel-Parc-Extension
A002,Saint-Michel,Villeray-Saint-Michel-Parc-Extension,45.563409,-73.615441,48600,synthetic_demo_not_for_scoring,100.0,12.21,100.0,57.67,44.45,62.87,62.87,3,3,income pressure; language access need; newcomer support need,STRUCT-01,statcan-2021-equal5-borough,structural-v1,2021,borough,Villeray-Saint-Michel-Parc-Extension
A004,Montreal-Nord,Montreal-Nord,45.604979,-73.627562,43600,synthetic_demo_not_for_scoring,90.59,44.76,39.18,46.83,47.26,53.72,53.72,4,4,income pressure; housing pressure; newcomer support need,STRUCT-01,statcan-2021-equal5-borough,structural-v1,2021,borough,Montreal-Nord
A009,Westmount,Westmount,45.484706,-73.599458,19800,synthetic_demo_not_for_scoring,23.48,100.0,0.23,42.46,94.13,52.06,52.06,5,5,age-related support need; housing pressure; newcomer support need,STRUCT-01,statcan-2021-equal5-borough,structural-v1,2021,borough,Westmount
A010,Plateau Mont-Royal,Le Plateau-Mont-Royal,45.523309,-73.586293,104000,synthetic_demo_not_for_scoring,97.54,0.0,0.0,57.14,100.0,50.94,50.94,6,6,housing pressure; income pressure; newcomer support need,STRUCT-01,statcan-2021-equal5-borough,structural-v1,2021,borough,Le Plateau-Mont-Royal
A007,Ahuntsic,Ahuntsic-Cartierville,45.545068,-73.670859,39600,synthetic_demo_not_for_scoring,57.78,44.34,37.59,73.94,35.08,49.75,49.75,7,7,newcomer support need; income pressure; age-related support need,STRUCT-01,statcan-2021-equal5-borough,structural-v1,2021,borough,Ahuntsic-Cartierville
A006,Verdun,Verdun,45.452326,-73.552985,70400,synthetic_demo_not_for_scoring,43.01,36.15,6.38,46.69,52.23,36.89,36.89,8,8,housing pressure; newcomer support need; income pressure,STRUCT-01,statcan-2021-equal5-borough,structural-v1,2021,borough,Verdun
A011,Pointe-Saint-Charles,Le Sud-Ouest,45.467989,-73.588562,16600,synthetic_demo_not_for_scoring,80.56,9.46,11.39,37.57,40.5,35.9,35.9,9,9,income pressure; housing pressure; newcomer support need,STRUCT-01,statcan-2021-equal5-borough,structural-v1,2021,borough,Le Sud-Ouest
A008,Lachine,Lachine,45.44763,-73.683399,27800,synthetic_demo_not_for_scoring,56.2,40.63,2.51,33.47,27.36,32.03,32.03,10,10,income pressure; age-related support need; newcomer support need,STRUCT-01,statcan-2021-equal5-borough,structural-v1,2021,borough,Lachine
A005,Hochelaga,Mercier-Hochelaga-Maisonneuve,45.574337,-73.531124,33300,synthetic_demo_not_for_scoring,55.5,29.56,2.05,32.67,31.44,30.24,30.24,11,11,income pressure; newcomer support need; housing pressure,STRUCT-01,statcan-2021-equal5-borough,structural-v1,2021,borough,Mercier-Hochelaga-Maisonneuve
A012,Riviere-des-Prairies,Riviere-des-Prairies-Pointe-aux-Trembles,45.660387,-73.530574,32200,synthetic_demo_not_for_scoring,0.0,46.62,8.66,0.0,0.0,11.06,11.06,12,12,age-related support need; language access need; income pressure,STRUCT-01,statcan-2021-equal5-borough,structural-v1,2021,borough,Riviere-des-Prairies-Pointe-aux-Trembles
