center_id,area_id,borough_name,join_method
CTR_a844b4eb,A005,Mercier-Hochelaga-Maisonneuve,point_in_real_area_polygon
CTR_ccb3e723,,,unassigned_outside_study_area
CTR_0a899f71,A007,Ahuntsic-Cartierville,point_in_real_area_polygon
CTR_7279e6c6,A004,Montreal-Nord,point_in_real_area_polygon
CTR_2abe1d3f,A003,Cote-des-Neiges-Notre-Dame-de-Grace,point_in_real_area_polygon
CTR_e28f0f32,,,unassigned_outside_study_area
CTR_900d5e2e,A007,Ahuntsic-Cartierville,point_in_real_area_polygon
CTR_2d73e7bc,A004,Montreal-Nord,point_in_real_area_polygon
CTR_dfafaa74,A003,Cote-des-Neiges-Notre-Dame-de-Grace,point_in_real_area_polygon
CTR_f58dabcb,A004,Montreal-Nord,point_in_real_area_polygon
CTR_d5ce1961,,,unassigned_outside_study_area
CTR_21b85c76,A011,Le Sud-Ouest,point_in_real_area_polygon
CTR_5490f02b,,,unassigned_outside_study_area
CTR_00895560,A004,Montreal-Nord,point_in_real_area_polygon
CTR_bfaa22ea,A005,Mercier-Hochelaga-Maisonneuve,point_in_real_area_polygon
CTR_b0eff495,A006,Verdun,point_in_real_area_polygon
CTR_0b77e8fd,,,unassigned_outside_study_area
CTR_4e55ac66,A003,Cote-des-Neiges-Notre-Dame-de-Grace,point_in_real_area_polygon
CTR_2a480768,,,unassigned_outside_study_area
CTR_6d184519,,,unassigned_outside_study_area
CTR_abec8a40,A005,Mercier-Hochelaga-Maisonneuve,point_in_real_area_polygon
CTR_e20dcf03,A002,Villeray-Saint-Michel-Parc-Extension,point_in_real_area_polygon
CTR_ab154440,A005,Mercier-Hochelaga-Maisonneuve,point_in_real_area_polygon
CTR_be7637b4,,,unassigned_outside_study_area
CTR_6ed5b0a0,A011,Le Sud-Ouest,point_in_real_area_polygon
CTR_902c123b,A005,Mercier-Hochelaga-Maisonneuve,point_in_real_area_polygon
CTR_12904e15,A010,Le Plateau-Mont-Royal,point_in_real_area_polygon
CTR_0db155a8,A003,Cote-des-Neiges-Notre-Dame-de-Grace,point_in_real_area_polygon
CTR_0605eb57,,,unassigned_outside_study_area
CTR_9cda8e7a,A001,Villeray-Saint-Michel-Parc-Extension,point_in_real_area_polygon
CTR_08ae3b01,,,unassigned_outside_study_area
CTR_8d56a0a5,,,unassigned_outside_study_area
CTR_ae22877b,A010,Le Plateau-Mont-Royal,point_in_real_area_polygon
CTR_233fc915,A012,Riviere-des-Prairies-Pointe-aux-Trembles,point_in_real_area_polygon
CTR_a5c1e3a3,A012,Riviere-des-Prairies-Pointe-aux-Trembles,point_in_real_area_polygon
CTR_956f7232,,,unassigned_outside_study_area
CTR_dc72294a,,,unassigned_outside_study_area
CTR_e4e90479,,,unassigned_outside_study_area
CTR_e5d3d478,A011,Le Sud-Ouest,point_in_real_area_polygon
CTR_ffbc124a,A011,Le Sud-Ouest,point_in_real_area_polygon
CTR_04f7484d,,,unassigned_outside_study_area
CTR_40c50f99,,,unassigned_outside_study_area
CTR_7f79bc80,A002,Villeray-Saint-Michel-Parc-Extension,point_in_real_area_polygon
CTR_c1468497,A008,Lachine,point_in_real_area_polygon
CTR_a7df3c32,A007,Ahuntsic-Cartierville,point_in_real_area_polygon
CTR_8c4a89e1,A008,Lachine,point_in_real_area_polygon
CTR_52ec3fff,A006,Verdun,point_in_real_area_polygon
CTR_82832aaa,A004,Montreal-Nord,point_in_real_area_polygon
CTR_71aadb63,,,unassigned_outside_study_area
CTR_56187391,A006,Verdun,point_in_real_area_polygon
CTR_9b063609,A003,Cote-des-Neiges-Notre-Dame-de-Grace,point_in_real_area_polygon
CTR_472e2ed5,A006,Verdun,point_in_real_area_polygon
CTR_d98db6f2,A007,Ahuntsic-Cartierville,point_in_real_area_polygon
CTR_0f3cc759,,,unassigned_outside_study_area
CTR_418714a4,A010,Le Plateau-Mont-Royal,point_in_real_area_polygon
CTR_b5c4bc8b,A003,Cote-des-Neiges-Notre-Dame-de-Grace,point_in_real_area_polygon
CTR_2b644db4,A002,Villeray-Saint-Michel-Parc-Extension,point_in_real_area_polygon
CTR_2696641e,,,unassigned_outside_study_area
CTR_ee4fb756,A006,Verdun,point_in_real_area_polygon
CTR_a44fa433,,,unassigned_outside_study_area
CTR_8753afde,A006,Verdun,point_in_real_area_polygon
CTR_b5989e47,,,unassigned_outside_study_area
CTR_313c34cf,,,unassigned_outside_study_area
CTR_87c30d6b,,,unassigned_outside_study_area
CTR_f79f4e81,,,unassigned_outside_study_area
CTR_7dc8252e,,,unassigned_outside_study_area
CTR_266334e7,A007,Ahuntsic-Cartierville,point_in_real_area_polygon
CTR_e577e8eb,,,unassigned_outside_study_area
CTR_60103485,,,unassigned_outside_study_area
CTR_96b1ad03,A002,Villeray-Saint-Michel-Parc-Extension,point_in_real_area_polygon
CTR_26dc5882,A012,Riviere-des-Prairies-Pointe-aux-Trembles,point_in_real_area_polygon
CTR_688f27e0,A007,Ahuntsic-Cartierville,point_in_real_area_polygon
CTR_e5ef864a,,,unassigned_outside_study_area
CTR_58f7a91b,,,unassigned_outside_study_area
CTR_ad53b0be,,,unassigned_outside_study_area
CTR_a18d27c9,,,unassigned_outside_study_area
CTR_4371b6dc,A012,Riviere-des-Prairies-Pointe-aux-Trembles,point_in_real_area_polygon
CTR_c1b7e796,A004,Montreal-Nord,point_in_real_area_polygon
CTR_cce9fcfa,A004,Montreal-Nord,point_in_real_area_polygon
CTR_004c958c,,,unassigned_outside_study_area
CTR_969a4b0d,A005,Mercier-Hochelaga-Maisonneuve,point_in_real_area_polygon
CTR_02c272cc,A011,Le Sud-Ouest,point_in_real_area_polygon
CTR_44fde3d1,A005,Mercier-Hochelaga-Maisonneuve,point_in_real_area_polygon
CTR_4e4f96b0,A012,Riviere-des-Prairies-Pointe-aux-Trembles,point_in_real_area_polygon
CTR_b96c3bc0,A012,Riviere-des-Prairies-Pointe-aux-Trembles,point_in_real_area_polygon
CTR_ac040afb,A008,Lachine,point_in_real_area_polygon
CTR_e21c693c,,,unassigned_outside_study_area
CTR_4084f2de,A001,Villeray-Saint-Michel-Parc-Extension,point_in_real_area_polygon
CTR_598068e5,,,unassigned_outside_study_area
CTR_55da01c2,,,unassigned_outside_study_area
CTR_ba3cb973,,,unassigned_outside_study_area
CTR_ea99a7e2,,,unassigned_outside_study_area
CTR_5112ec7d,,,unassigned_outside_study_area
CTR_672f67d0,,,unassigned_outside_study_area
CTR_8640eb73,,,unassigned_outside_study_area
CTR_30c34383,,,unassigned_outside_study_area
CTR_aeb416fa,,,unassigned_outside_study_area
CTR_943ed6ae,A008,Lachine,point_in_real_area_polygon
CTR_cfcb18cc,A005,Mercier-Hochelaga-Maisonneuve,point_in_real_area_polygon
CTR_3b90c0eb,,,unassigned_outside_study_area
CTR_b5396138,A010,Le Plateau-Mont-Royal,point_in_real_area_polygon
CTR_48dc4c4e,A010,Le Plateau-Mont-Royal,point_in_real_area_polygon
CTR_87abedda,A010,Le Plateau-Mont-Royal,point_in_real_area_polygon
CTR_2a16110a,,,unassigned_outside_study_area
CTR_513320bd,A010,Le Plateau-Mont-Royal,point_in_real_area_polygon
CTR_82795351,A012,Riviere-des-Prairies-Pointe-aux-Trembles,point_in_real_area_polygon
CTR_8153b058,A012,Riviere-des-Prairies-Pointe-aux-Trembles,point_in_real_area_polygon
CTR_3da03637,A012,Riviere-des-Prairies-Pointe-aux-Trembles,point_in_real_area_polygon
CTR_e42083e1,A012,Riviere-des-Prairies-Pointe-aux-Trembles,point_in_real_area_polygon
CTR_439875eb,A012,Riviere-des-Prairies-Pointe-aux-Trembles,point_in_real_area_polygon
CTR_fb204836,A012,Riviere-des-Prairies-Pointe-aux-Trembles,point_in_real_area_polygon
CTR_8e3fb9db,A012,Riviere-des-Prairies-Pointe-aux-Trembles,point_in_real_area_polygon
CTR_e9743e33,A012,Riviere-des-Prairies-Pointe-aux-Trembles,point_in_real_area_polygon
CTR_bbf1832e,A002,Villeray-Saint-Michel-Parc-Extension,point_in_real_area_polygon
CTR_90e46bf1,A002,Villeray-Saint-Michel-Parc-Extension,point_in_real_area_polygon
CTR_ff210114,A003,Cote-des-Neiges-Notre-Dame-de-Grace,point_in_real_area_polygon
CTR_52c59315,A012,Riviere-des-Prairies-Pointe-aux-Trembles,point_in_real_area_polygon
CTR_209c4ea8,A012,Riviere-des-Prairies-Pointe-aux-Trembles,point_in_real_area_polygon
CTR_0f7675ec,A004,Montreal-Nord,point_in_real_area_polygon
CTR_feae3b81,A012,Riviere-des-Prairies-Pointe-aux-Trembles,point_in_real_area_polygon
CTR_933fed61,A012,Riviere-des-Prairies-Pointe-aux-Trembles,point_in_real_area_polygon
CTR_d5443538,A011,Le Sud-Ouest,point_in_real_area_polygon
CTR_7b998f87,A007,Ahuntsic-Cartierville,point_in_real_area_polygon
CTR_9afcf12b,,,unassigned_outside_study_area
CTR_e66522ff,A012,Riviere-des-Prairies-Pointe-aux-Trembles,point_in_real_area_polygon
CTR_960c5024,A012,Riviere-des-Prairies-Pointe-aux-Trembles,point_in_real_area_polygon
CTR_88235e0c,A012,Riviere-des-Prairies-Pointe-aux-Trembles,point_in_real_area_polygon
CTR_f4729bcf,A012,Riviere-des-Prairies-Pointe-aux-Trembles,point_in_real_area_polygon
CTR_c149dad3,A012,Riviere-des-Prairies-Pointe-aux-Trembles,point_in_real_area_polygon
CTR_e6928d1c,A012,Riviere-des-Prairies-Pointe-aux-Trembles,point_in_real_area_polygon
CTR_64d2aebb,A012,Riviere-des-Prairies-Pointe-aux-Trembles,point_in_real_area_polygon
CTR_fe240943,A012,Riviere-des-Prairies-Pointe-aux-Trembles,point_in_real_area_polygon
CTR_f117fe7e,,,unassigned_outside_study_area
CTR_2414eb1e,A011,Le Sud-Ouest,point_in_real_area_polygon
CTR_ba0b2fa4,,,unassigned_outside_study_area
CTR_d12b06c9,A012,Riviere-des-Prairies-Pointe-aux-Trembles,point_in_real_area_polygon
CTR_490b7b3c,A011,Le Sud-Ouest,point_in_real_area_polygon
CTR_fdc07812,A012,Riviere-des-Prairies-Pointe-aux-Trembles,point_in_real_area_polygon
CTR_dc05a555,A012,Riviere-des-Prairies-Pointe-aux-Trembles,point_in_real_area_polygon
CTR_58b61929,A012,Riviere-des-Prairies-Pointe-aux-Trembles,point_in_real_area_polygon
CTR_2f33c8f6,A012,Riviere-des-Prairies-Pointe-aux-Trembles,point_in_real_area_polygon
CTR_cb033117,A012,Riviere-des-Prairies-Pointe-aux-Trembles,point_in_real_area_polygon
CTR_ba149fb0,A012,Riviere-des-Prairies-Pointe-aux-Trembles,point_in_real_area_polygon
CTR_3be7c440,A012,Riviere-des-Prairies-Pointe-aux-Trembles,point_in_real_area_polygon
CTR_2adac36b,A012,Riviere-des-Prairies-Pointe-aux-Trembles,point_in_real_area_polygon
CTR_998aa29c,,,unassigned_outside_study_area
CTR_21f58733,A007,Ahuntsic-Cartierville,point_in_real_area_polygon
CTR_cdbd0c49,,,unassigned_outside_study_area
CTR_e409a795,A010,Le Plateau-Mont-Royal,point_in_real_area_polygon
CTR_4a7eff1d,,,unassigned_outside_study_area
CTR_879377ef,A012,Riviere-des-Prairies-Pointe-aux-Trembles,point_in_real_area_polygon
CTR_7b5f2bbd,A002,Villeray-Saint-Michel-Parc-Extension,point_in_real_area_polygon
CTR_33a66e50,A002,Villeray-Saint-Michel-Parc-Extension,point_in_real_area_polygon
CTR_42f8daa2,A002,Villeray-Saint-Michel-Parc-Extension,point_in_real_area_polygon
