ï»¿Dissemination Area (DA),Province or territory,Dimension 1 Scores,Dimension 2 Scores,Dimension 3 Scores,Dimension 4 Scores,CISV Scores,CISV Quintiles,CISV Most Vulnerable Dimension,da_str
24580001,Quebec,-0.51243,-0.47429,-0.3828,0.29896,-0.26764,2,Dimension 4,24580001
24580002,Quebec,-0.49551,-0.59845,-0.27918,-0.67643,-0.51239,1,Dimension 3,24580002
24580003,Quebec,-0.56342,-0.3354,-0.14734,0.01134,-0.2587,2,Dimension 4,24580003
24580004,Quebec,-0.68839,-0.66283,0.14247,-0.05851,-0.31681,2,Dimension 3,24580004
24580005,Quebec,-0.16544,1.17752,-0.45729,1.20909,0.44097,5,Dimension 4,24580005
24580006,Quebec,0.20848,-0.43995,-0.32054,0.53466,-0.00434,3,Dimension 4,24580006
24580007,Quebec,0.14351,-0.21518,0.7031,-0.20936,0.10552,4,Dimension 3,24580007
24580008,Quebec,-0.34887,1.34675,-0.53964,0.61526,0.26838,4,Dimension 2,24580008
24580009,Quebec,-0.49994,-0.62379,-0.69479,-0.58209,-0.60015,1,Dimension 1,24580009
24580010,Quebec,-0.17241,-0.5169,-0.82436,0.12039,-0.34832,2,Dimension 4,24580010
24580011,Quebec,0.26775,-1.5263,-0.0523,0.6093,-0.17539,3,Dimension 4,24580011
24580012,Quebec,-0.4312,-0.53613,-0.77451,-0.35311,-0.52374,1,Dimension 4,24580012
24580013,Quebec,-0.57453,-0.455,-1.15052,-0.69809,-0.71953,1,Dimension 2,24580013
24580014,Quebec,-0.56988,-0.93154,-1.14673,-0.88221,-0.88259,1,Dimension 1,24580014
24580015,Quebec,-0.59708,-0.4756,-0.87456,-0.07452,-0.50544,1,Dimension 4,24580015
24580016,Quebec,-0.53802,-0.92339,-1.08287,-1.70602,-1.06258,1,Dimension 1,24580016
24580017,Quebec,-0.3669,-0.91153,-0.88874,-0.34933,-0.62912,1,Dimension 4,24580017
24580018,Quebec,-0.71175,-0.48957,-0.94936,-1.02619,-0.79422,1,Dimension 2,24580018
24580019,Quebec,-0.17021,-0.15567,-0.93316,-0.30448,-0.39088,2,Dimension 2,24580019
24580020,Quebec,-0.66647,0.68855,-0.98032,-0.85065,-0.45222,1,Dimension 2,24580020
24580021,Quebec,-0.02727,-0.35036,-0.6953,-0.33494,-0.35197,2,Dimension 1,24580021
24580022,Quebec,0.72952,-0.06351,-0.53067,0.605,0.18508,4,Dimension 1,24580022
24580023,Quebec,1.10051,0.2607,0.38604,0.29046,0.50943,5,Dimension 1,24580023
24580024,Quebec,0.821,-0.77435,-0.24185,0.55244,0.08931,4,Dimension 1,24580024
24580025,Quebec,-0.39912,-0.15029,-0.94884,-1.49646,-0.74868,1,Dimension 2,24580025
24580026,Quebec,1.66276,-0.70832,0.25118,1.59751,0.70078,5,Dimension 1,24580026
24580027,Quebec,-0.00585,0.43471,0.21247,-0.39193,0.06235,4,Dimension 2,24580027
24580028,Quebec,-0.49374,-1.24327,-1.04601,-0.31023,-0.77331,1,Dimension 4,24580028
24580029,Quebec,0.5769,2.35033,-1.30059,0.69411,0.58019,5,Dimension 2,24580029
24580030,Quebec,0.21673,0.5039,-1.53186,2.11894,0.32693,4,Dimension 4,24580030
24580031,Quebec,-0.28508,4.51519,-0.59948,0.98872,1.15484,5,Dimension 2,24580031
24580032,Quebec,-0.19494,-0.21532,-0.82507,0.09034,-0.28625,2,Dimension 4,24580032
24580033,Quebec,-0.4466,-0.29649,-0.88833,0.13604,-0.37385,2,Dimension 4,24580033
24580034,Quebec,0.19259,0.05069,-0.58838,0.24335,-0.02544,3,Dimension 4,24580034
24580035,Quebec,-0.26302,2.93926,-1.43822,-0.1293,0.27718,4,Dimension 2,24580035
24580036,Quebec,-0.36992,-0.61185,-1.19554,0.39774,-0.44489,2,Dimension 4,24580036
24580037,Quebec,0.1574,0.46146,-0.82217,0.37859,0.04382,3,Dimension 2,24580037
24580038,Quebec,0.30758,1.0294,-0.26412,0.58692,0.41495,5,Dimension 2,24580038
24580039,Quebec,0.11499,-0.82759,0.05861,0.307,-0.08675,3,Dimension 4,24580039
24580040,Quebec,-0.10918,-0.23063,-0.19328,0.69706,0.04099,3,Dimension 4,24580040
24580041,Quebec,0.6432,-1.04884,0.8203,0.57841,0.24827,4,Dimension 3,24580041
24580042,Quebec,0.37317,0.15336,-0.00812,1.63855,0.53924,5,Dimension 4,24580042
24580043,Quebec,-0.05808,-0.43428,-0.41889,0.79524,-0.029,3,Dimension 4,24580043
24580044,Quebec,0.07285,-0.12539,-0.27383,1.10693,0.19514,4,Dimension 4,24580044
24580045,Quebec,0.09594,-0.29975,0.25866,0.34532,0.10004,4,Dimension 4,24580045
24580046,Quebec,0.63953,-1.09492,0.02034,0.38223,-0.01321,3,Dimension 1,24580046
24580047,Quebec,0.88797,-0.79459,0.30706,0.42973,0.20754,4,Dimension 1,24580047
24580048,Quebec,-0.30986,-0.55457,0.48618,0.43737,0.01478,3,Dimension 3,24580048
24580049,Quebec,0.31554,0.09904,0.06314,0.39107,0.2172,4,Dimension 4,24580049
24580050,Quebec,0.95261,0.58251,0.05572,0.64707,0.55948,5,Dimension 1,24580050
24580051,Quebec,0.10697,-1.17129,0.21137,0.92388,0.01773,3,Dimension 4,24580051
24580052,Quebec,0.12788,-0.4057,-0.17027,0.72872,0.07016,4,Dimension 4,24580052
24580053,Quebec,-0.38104,-0.15826,-0.5699,0.1133,-0.24898,2,Dimension 4,24580053
24580054,Quebec,0.43549,0.133,-0.33324,1.12437,0.33991,4,Dimension 4,24580054
24580055,Quebec,0.55553,-0.1377,-0.30357,0.25952,0.09344,4,Dimension 1,24580055
24580056,Quebec,-0.30256,1.08578,-0.06711,0.32348,0.2599,4,Dimension 2,24580056
24580057,Quebec,-0.04925,-0.36083,-0.20704,0.74107,0.03099,3,Dimension 4,24580057
24580058,Quebec,0.16421,-0.23418,-0.76491,0.0816,-0.18832,3,Dimension 1,24580058
24580059,Quebec,-0.61065,-0.64253,-1.36994,0.22905,-0.59852,1,Dimension 4,24580059
24580060,Quebec,0.14514,0.1894,-0.60016,-0.13679,-0.1006,3,Dimension 2,24580060
24580061,Quebec,-0.08567,-0.4876,-0.73416,0.56764,-0.18495,3,Dimension 4,24580061
24580062,Quebec,-0.16108,0.39442,-0.0665,1.46851,0.40884,5,Dimension 4,24580062
24580063,Quebec,-0.21705,-0.36778,0.19128,1.00053,0.15175,4,Dimension 4,24580063
24580064,Quebec,-0.61769,0.02364,-0.52581,-0.00316,-0.28075,2,Dimension 2,24580064
24580065,Quebec,0.3725,0.13318,0.16004,0.90238,0.39203,4,Dimension 4,24580065
24580066,Quebec,0.89737,-0.91192,1.16669,0.63138,0.44588,5,Dimension 3,24580066
24580067,Quebec,0.7462,0.70099,0.7623,1.09008,0.82489,5,Dimension 4,24580067
24580068,Quebec,0.60073,-0.50619,0.21123,0.9811,0.32171,4,Dimension 4,24580068
24580069,Quebec,0.10017,-0.4115,0.21613,1.5194,0.35605,4,Dimension 4,24580069
24580070,Quebec,0.53133,2.46658,-0.41744,0.23114,0.7029,5,Dimension 2,24580070
24580071,Quebec,-0.04045,0.13717,0.13859,0.19416,0.10737,4,Dimension 4,24580071
24580072,Quebec,0.77643,-0.74646,0.06922,1.37076,0.36749,4,Dimension 4,24580072
24580073,Quebec,0.66363,-0.13633,-0.07583,0.04517,0.12416,4,Dimension 1,24580073
24580074,Quebec,-0.37671,-0.92819,-0.16898,0.33165,-0.28556,2,Dimension 4,24580074
24580075,Quebec,0.6797,-0.26696,0.22752,0.84094,0.3703,4,Dimension 4,24580075
24580076,Quebec,0.74172,-0.9767,-0.37114,0.61778,0.00292,3,Dimension 1,24580076
