area_id,rolling_window_days,rolling_visit_count,visit_volume_per_1000,observed_visit_volume_score,top_need_category,top_need_count,top_need_share_pct,top_category_rate_per_1000,top_category_pressure_score,v1_demand_score,data_through_date,observed_immigrant_need_score,observed_indigenous_need_score,focus_category_share_score,observed_severity_breadth_score,observed_recency_score,v2_observed_score,observed_focus_need_score,observed_data_basis,insufficient_visit_data,top_key_needs,observed_need_rank
A001,90,794,25.45,25.45,Family Services,136,17.13,4.36,4.36,19.12,2026-06-30,38.16,,38.16,50.89,89.09,35.23,35.23,fixed_v2_observed_components,False,Family Services; Housing & Shelter; Food Support; General Support; Mental Health,9
A002,90,1696,34.9,34.9,General Support,246,14.5,5.06,5.06,25.95,2026-06-30,44.75,,44.75,43.39,89.09,38.02,38.02,fixed_v2_observed_components,False,General Support; Language Access; Employment; Food Support; Family Services,7
A003,90,3514,67.06,67.06,Family Services,527,15.0,10.06,10.06,49.96,2026-06-30,42.63,,42.63,53.16,89.09,50.2,50.2,fixed_v2_observed_components,False,Family Services; Language Access; Housing & Shelter; Mental Health; Legal Aid,4
A004,90,1120,25.69,25.69,Settlement Navigation,176,15.71,4.04,4.04,19.2,2026-06-30,40.8,,40.8,48.19,89.09,35.22,35.22,fixed_v2_observed_components,False,Settlement Navigation; Mental Health; Language Access; Employment; Family Services,10
A005,90,3108,93.33,93.33,Food Support,494,15.89,14.83,14.83,69.78,2026-06-30,40.03,,40.03,53.08,89.09,58.5,58.5,fixed_v2_observed_components,False,Food Support; Mental Health; Housing & Shelter; Employment; Language Access,2
A006,90,2071,29.42,29.42,General Support,407,19.65,5.78,5.78,22.33,2026-06-30,36.75,2.03,38.77,50.31,89.09,36.71,36.71,fixed_v2_observed_components,False,General Support; Family Services; Language Access; Food Support; Legal Aid,8
A007,90,3754,94.8,94.8,General Support,500,13.32,12.63,12.63,70.15,2026-06-30,39.98,,39.98,51.78,89.09,58.23,58.23,fixed_v2_observed_components,False,General Support; Mental Health; Language Access; Food Support; Legal Aid,3
A008,90,722,25.97,25.97,Family Services,141,19.53,5.07,5.07,19.7,2026-06-30,53.46,,53.46,49.98,89.09,38.4,38.4,fixed_v2_observed_components,False,Family Services; Settlement Navigation; Housing & Shelter; Language Access; Mental Health,6
A009,90,317,16.01,16.01,Employment,105,33.12,5.3,5.3,12.8,2026-06-30,28.39,8.52,36.91,32.83,89.09,28.72,28.72,fixed_v2_observed_components,False,Employment; Food Support; Family Services; Mental Health; Settlement Navigation,12
A010,90,1470,14.13,14.13,Family Services,316,21.5,3.04,3.04,10.8,2026-06-30,46.8,5.51,52.31,41.86,89.09,32.59,32.59,fixed_v2_observed_components,False,Family Services; General Support; Settlement Navigation; Employment; Food Support,11
A011,90,1823,109.82,100.0,Settlement Navigation,338,18.54,20.36,20.36,76.11,2026-06-30,40.26,2.91,43.17,48.55,89.09,61.33,61.33,fixed_v2_observed_components,False,Settlement Navigation; Food Support; Mental Health; Employment; Language Access,1
A012,90,1617,50.22,50.22,Legal Aid,287,17.75,8.91,8.91,37.83,2026-06-30,33.4,,33.4,54.23,89.09,43.28,43.28,fixed_v2_observed_components,False,Legal Aid; General Support; Mental Health; Employment; Family Services,5
