directory_id,org_name,primary_category,service_categories,address,latitude,longitude,mappable,geocode_precision,phone,website,email,coverage_area,hours,services,source_name,source_url,last_checked_date
DIR_995b989691,(ITMAV),Other,Other,,,,0,,,,,West Island,"Monday to Thursday 9h00 to 16h00, Friday 9h00 to 12h00",,211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_f183843ba8,(PRAIDA),Shelter,Shelter; Food; Medical; Legal; Immigration & Newcomers,"35 Port-Royal Street East, Ahuntsic-Cartierville, Montréal, QC, H3L 3T1",45.541862,-73.680319,1,approximate,"1
514 484-7878",www.ciussswestcentral.ca/programs-and-services/praida-regional-program-for-the-settlement-and- integration-of-asylum-seekers 2220,,Province of Québec,"Monday to Friday 8h30 to 16h30, day centre: Tuesday, Wednesday and Thursday 9h00 to 16h30","Full support from application to judgment (including appeals).* Reception, assessment, orientation and referrals.* Psychosocial services with follow-ups.* Temporary housing: duration 3-4 weeks, 3 meals a day, health care, crisis intervention.* Information: immigration procedures, social assistance, housing, etc.* Unaccompanied minors team.* Training and collaboration with community organizations and institutions.* PRAIDA-YMCA Day Center (YMCA Residence, 4039 Tupper Street, Montréal): legal assistance, housing search, help in understanding the healthcare system, etc.* Clinic for asylum seekers and refugees (CDAR): CLSC Côte-des-neiges (5700 de la Côte-des-Neiges Road, Montréal).* Assessment and creation of a health check-up for refugees and Ukrainian nationals residing on the Island of Montréal.",211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_b7a4fd9157,(TDS RDP),Other,Other,,,,0,,,,,Rivière-des-Prairies,"Monday to Thursday 8h30 to 16h30, Friday on call",,211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_f437a5e1ca,(TNT),Other,Other,Coverage area: Montréal Island and surroundings,,,0,,,,,Montréal Island and surroundings,,,211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_681b62efcd,"(VILLE-MARIE EST), ÎLE NOTRE-DAME, ÎLE SAINTE-HÉLÈNE, VIEUX-MONTRÉAL",Government Services,Government Services,"1669 Berri Street, Ville-Marie, Montréal, QC, H2L 4E9",45.516754,-73.563651,1,exact,514 280-0121,spvm.qc.ca/en/pdq21,pdq21@spvm.qc.ca,"Ville-Marie East, Île Notre-Dame, Île Sainte-Hélène, Vieux-Montréal",24 hours / 7 days,"Maintain peace, order and public safety.* Protect the lives and property of citizens.* Maintain peace and public safety.* Prevent and combat crime.* Enforce laws and regulations.* Loan chisels to identify valuables.* Community outreach, specialized teams to prevent and raise awareness of social problems.* Foot patrols.",211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_066d1f5af5,"(VILLE-MARIE OUEST), PARC DU MONT-ROYAL",Government Services,Government Services,"1432 Sainte-Catherine Street West, Ville-Marie, Montréal, QC, H3G 1R3",45.488273,-73.585734,1,approximate,514 280-0120,spvm.qc.ca/en/pdq20,pdq20@spvm.qc.ca,"Ville-Marie West, Parc du Mont-Royal",24 hours / 7 days,"Maintain peace, order and public safety.* Protect the lives and property of citizens.* Maintain peace and public safety.* Prevent and combat crime.* Enforce laws and regulations.* Loan chisels to identify valuables.* Community outreach, specialized teams to prevent and raise awareness of social problems.* Foot patrols.",211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_489846642a,211 GREATER MONTRÉAL AND GATINEAU,Community & Advocacy,Community & Advocacy,"3155 Hochelaga Street, Suite 101, Mercier—Hochelaga-Maisonneuve, Montréal, QC, H1W 1G4",45.54244,-73.554441,1,approximate,,211qc.ca,211@211qc.ca,"full service: Greater Montreal, Gatineau, MRC Les Jardins-de-Napierville, MRC Vaudreuil- Soulanges, online database only: Outaouais, MRC La Vallée-du-Richelieu, MRC Le Haut-Richelieu",24 hours / 7 days,Socio-community info-referral service.* By-phone and chat information service to guide citizens through socio-community and public resources adapted to their needs.* Online directory of socio-community resources available in the area.* Statistical reports on the met and unmet needs of our callers.,211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_4a50869dac,555 MAPLE LEAF SQUADRON,Medical,Medical,"4171 de l'Esplanade Avenue, Le Plateau-Mont-Royal, Montréal, QC, H2W 1S9",45.516303,-73.582957,1,exact,514 496-1984,555mapleleaf.ca/en/welcome,info@555mapleleaf.ca,Le Plateau-Mont-Royal,"activities: Wednesday 18h15 to 21h15, optional activities: Saturday to Monday 293","The Air Cadet Program supports young people as they transition into adulthood.* Development of skills and abilities: self-confidence, a sense of responsibility, leadership and civic-mindedness, teamwork, physical fitness and healthy lifestyle habits, making friends, maintaining good mental health, etc.* Introduction to the field of aerospace.",211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_c887c9ad3c,ABRI DE VILLERAY,Shelter,Shelter; Food; Medical,"7399 Saint-Laurent Boulevard, Villeray—Saint-Michel—Parc-Extension, Montréal, QC, H2R 1W7",45.53611,-73.620854,1,exact,514 379-2800,,info@refugecdi.com,"Montréal Island, priority to people living in the north sector of Montréal","24 hours / 7 days, emergency beds: 00h00 to 11h00, emergency chairs: 00h00 to 7h30","* Accommodation for up to 21 days.* Emergency overnight accommodation.* Reception and assistance.* Help with administrative procedures.* Showers, hot meals, snacks, and coffee for homeless people staying at the shelter.* Distribution of sterile injection equipment.* Distribution of naloxone.* Health prevention and distribution of sanitary equipment. 1898",211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
DIR_c293e0f007,ABRI EN VILLE (L'),Shelter,Shelter; Recreation & Culture,"2352 Duvernay Street, Le Sud-Ouest, Montréal, QC, H3J 2X1",45.483412,-73.572574,1,exact,"1
514 932-2199",www.labrienville.org,info@labrienville.org,Greater Montréal,Monday to Friday 9h00 to 17h00,Stable housing.* Assistance with daily management skills.* Social and recreational activities.* Weekly follow-up or upon request.,211 Grand Montreal / Centraide,https://www.211qc.ca/,2026-07-13
