service_id,name,primary_category,service_categories,address,latitude,longitude,mappable,geocode_precision,area_id,borough_name,phone,website,email,hours,services,sources,legacy_center_id,serves_indigenous,serves_immigrant,gender_focus,age_groups
SVC_8e39d4b59c,(PRAIDA),Shelter,Shelter; Food; Medical; Legal; Immigration & Newcomers,"35 Port-Royal Street East, Ahuntsic-Cartierville, Montréal, QC, H3L 3T1",45.541862,-73.680319,1,approximate,A007,Ahuntsic-Cartierville,"1
514 484-7878",www.ciussswestcentral.ca/programs-and-services/praida-regional-program-for-the-settlement-and- integration-of-asylum-seekers 2220,,"Monday to Friday 8h30 to 16h30, day centre: Tuesday, Wednesday and Thursday 9h00 to 16h30","Full support from application to judgment (including appeals).* Reception, assessment, orientation and referrals.* Psychosocial services with follow-ups.* Temporary housing: duration 3-4 weeks, 3 meals a day, health care, crisis intervention.* Information: immigration procedures, social assistance, housing, etc.* Unaccompanied minors team.* Training and collaboration with community organizations and institutions.* PRAIDA-YMCA Day Center (YMCA Residence, 4039 Tupper Street, Montréal): legal assistance, housing search, help in understanding the healthcare system, etc.* Clinic for asylum seekers and refugees (CDAR): CLSC Côte-des-neiges (5700 de la Côte-des-Neiges Road, Montréal).* Assessment and creation of a health check-up for refugees and Ukrainian nationals residing on the Island of Montréal.",211,,0,1,All,Under 25; 25-44; 45-64; 65+
SVC_a9f037e737,(TNT),Other,Other,Coverage area: Montréal Island and surroundings,,,0,,,,,,,,,211,,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_24707c9b0b,"(VILLE-MARIE EST), ÎLE NOTRE-DAME, ÎLE SAINTE-HÉLÈNE, VIEUX-MONTRÉAL",Government Services,Government Services,"1669 Berri Street, Ville-Marie, Montréal, QC, H2L 4E9",45.516754,-73.563651,1,exact,,,514 280-0121,spvm.qc.ca/en/pdq21,pdq21@spvm.qc.ca,24 hours / 7 days,"Maintain peace, order and public safety.* Protect the lives and property of citizens.* Maintain peace and public safety.* Prevent and combat crime.* Enforce laws and regulations.* Loan chisels to identify valuables.* Community outreach, specialized teams to prevent and raise awareness of social problems.* Foot patrols.",211,,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_9500ac8f49,"(VILLE-MARIE OUEST), PARC DU MONT-ROYAL",Government Services,Government Services,"1432 Sainte-Catherine Street West, Ville-Marie, Montréal, QC, H3G 1R3",45.488273,-73.585734,1,approximate,A009,Westmount,514 280-0120,spvm.qc.ca/en/pdq20,pdq20@spvm.qc.ca,24 hours / 7 days,"Maintain peace, order and public safety.* Protect the lives and property of citizens.* Maintain peace and public safety.* Prevent and combat crime.* Enforce laws and regulations.* Loan chisels to identify valuables.* Community outreach, specialized teams to prevent and raise awareness of social problems.* Foot patrols.",211,,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_ee05aa29cf,211 GREATER MONTRÉAL AND GATINEAU,Community & Advocacy,Community & Advocacy,"3155 Hochelaga Street, Suite 101, Mercier—Hochelaga-Maisonneuve, Montréal, QC, H1W 1G4",45.54244,-73.554441,1,approximate,A005,Mercier-Hochelaga-Maisonneuve,,211qc.ca,211@211qc.ca,24 hours / 7 days,Socio-community info-referral service.* By-phone and chat information service to guide citizens through socio-community and public resources adapted to their needs.* Online directory of socio-community resources available in the area.* Statistical reports on the met and unmet needs of our callers.,211,,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_9e37da8fd4,"3292, rue Cherrier L’Île -Bizard",Community & Advocacy,Community & Advocacy,3292 Rue Cherrier,45.490686,-73.870003,1,exact,,,,,,,,community_services,CTR_b8716015,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_3b17f85202,5150 Gaspé - Bâtiment,Community & Advocacy,Community & Advocacy,5105 Avenue De Gaspé,45.525024,-73.591223,1,exact,A010,Le Plateau-Mont-Royal,,,,,,community_services,CTR_17b9dcdd,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_4fa6b262e3,555 MAPLE LEAF SQUADRON,Medical,Medical,"4171 de l'Esplanade Avenue, Le Plateau-Mont-Royal, Montréal, QC, H2W 1S9",45.516303,-73.582957,1,exact,A010,Le Plateau-Mont-Royal,514 496-1984,555mapleleaf.ca/en/welcome,info@555mapleleaf.ca,"activities: Wednesday 18h15 to 21h15, optional activities: Saturday to Monday 293","The Air Cadet Program supports young people as they transition into adulthood.* Development of skills and abilities: self-confidence, a sense of responsibility, leadership and civic-mindedness, teamwork, physical fitness and healthy lifestyle habits, making friends, maintaining good mental health, etc.* Introduction to the field of aerospace.",211,,0,0,All,Under 25
SVC_9e03f8bbf8,A deux mains,Community & Advocacy,Community & Advocacy,,45.46569,-73.62789,1,exact,A003,Cote-des-Neiges-Notre-Dame-de-Grace,,,,,,community_services,CTR_5611d7f2,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_cd5731a4e7,ABRI DE VILLERAY,Shelter,Shelter; Food; Medical,"7399 Saint-Laurent Boulevard, Villeray—Saint-Michel—Parc-Extension, Montréal, QC, H2R 1W7",45.53611,-73.620854,1,exact,A001,Villeray-Saint-Michel-Parc-Extension,514 379-2800,,info@refugecdi.com,"24 hours / 7 days, emergency beds: 00h00 to 11h00, emergency chairs: 00h00 to 7h30","* Accommodation for up to 21 days.* Emergency overnight accommodation.* Reception and assistance.* Help with administrative procedures.* Showers, hot meals, snacks, and coffee for homeless people staying at the shelter.* Distribution of sterile injection equipment.* Distribution of naloxone.* Health prevention and distribution of sanitary equipment. 1898",211,,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_18ac97cfc3,ABRI EN VILLE (L'),Shelter,Shelter; Recreation & Culture,"2352 Duvernay Street, Le Sud-Ouest, Montréal, QC, H3J 2X1",45.483412,-73.572574,1,exact,A011,Le Sud-Ouest,"1
514 932-2199",www.labrienville.org,info@labrienville.org,Monday to Friday 9h00 to 17h00,Stable housing.* Assistance with daily management skills.* Social and recreational activities.* Weekly follow-up or upon request.,211,,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_5d13d47d11,ACADEMOS CYBERMENTORAT,Youth & Family,Youth & Family; Education & Literacy; Community & Advocacy,"296 Saint-Paul Street West, Suite 400, Ville-Marie, Montréal, QC, H2Y 2A3",45.501414,-73.555939,1,exact,,,514 332-3006,academos.qc.ca,info@academos.qc.ca,Monday to Friday 9h00 to 17h00,Assistance for teens and young adults allowing them to explore trades and find a professional career.* Virtual mentoring by professionals or students with similar fields of interests.* Virtual discussion group.* School dropout prevention.* Online articles and videos offering advice and inspiration to help with career choice.* Directory of organizations and schools in order to familiarize with the job market.* Volunteering possibility through mentoring.,211,,0,0,All,Under 25; 25-44; 45-64
SVC_9d0d0d5887,ACCESS OPEN MINDS,Medical,Medical; Youth & Family; Indigenous,"6625 Lasalle Boulevard, Verdun, Montréal, QC, H4H 1R3",45.442463,-73.585497,1,exact,A006,Verdun,1 833 761-6131,accessopenminds.ca,access@douglas.mcgill.ca,,"Research and evaluation project to improve mental health care for youth.* Resources and research reports available online.* 16 participating service sites located in 6 provinces and 1 territory: culturally relevant mental health services, physical health and sexual health services, traditional Indigenous programming and support, other social services.",211,,1,0,All,Under 25
SVC_42ea49f407,ACCESS TO INFORMATION AND PRIVACY,Government Services,Government Services,Confidential Address,,,0,,,,,www.canada.ca/en/treasury-board-secretariat/services/access-information-privacy.html,,,Reception and processing of requests for access to information or personal information held by the federal government.* Online record of past access requests.* List of access to information and privacy coordinators by institution: www.tbs-sct.gc.ca/ap/atip-aiprp/coord-eng.asp,211,,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_1cd1f8d6fa,ACCOMPAGNATEUR (L'),Shelter,Shelter; Medical; Youth & Family; Disability; Recreation & Culture,"5800 Saint-Denis Street, Suite 602, Rosemont—La Petite-Patrie, Montréal, QC, H2S 3L5",45.530341,-73.598665,1,approximate,,,514 382-0310,laccompagnateur.org,info@laccompagnateur.org,,"Web platform for parents of people with disabilities to find resources.* Varied resources: education, housing, leisure, financial resources, health, services for families, transportation, etc.",211,,0,0,All,Under 25
SVC_e729ed578d,ACCOMPANIMENT-TRANSPORTATION,Medical,Medical; Community & Advocacy,"549 Jarry Street West, Villeray—Saint-Michel—Parc-Extension, Montréal, QC, H3N 1G1",45.537104,-73.625126,1,approximate,A001,Villeray-Saint-Michel-Parc-Extension,"1
514 271-7224",www.versvous.org,asklipios@hotmail.com,"7 days, 7h00 to 19h00, office: Monday to Friday 9h00 to 15h00",* Accompaniment and transportation to medical appointments and outings by volunteers.,211,,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_20076e64d2,ACCORDAILLES (LES),Food,Food; Medical; Community & Advocacy,"465 Gilford Street, Suite 101, Le Plateau-Mont-Royal, Montréal, QC, H2J 1N5",45.503182,-73.569806,1,approximate,,,514 282-1553,accordailles.org,info@accordailles.org,"office: Monday to Friday 8h00 to 16h00, community meal: Tuesday 12h00 to 15h00",* Friendly phone calls and visits.* Community meals.* Bingo.* Volunteer recruitment.* Accompaniment of shopping and medical appointment.,211,,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_b087660250,ACCORDAILLES (LES) - ACCOMPANIMENT,Medical,Medical; Community & Advocacy,"465 Gilford Street, Suite 101, Le Plateau-Mont-Royal, Montréal, QC, H2J 1N5",45.503182,-73.569806,1,approximate,,,514 282-1553,accordailles.org,info@accordailles.org,"office: Monday to Friday 8h00 to 16h00, accompaniment: Monday to Sunday 6h00 to 22h00 2941",* Accompaniment for medical appointments by volunteers.,211,,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_871ca0d6b8,ACCORDAILLES (LES) - COOPÉRÉGIONS,Shelter,Shelter; Medical; Seniors; Community & Advocacy,"465 Gilford Street, Suite 101, Le Plateau-Mont-Royal, Montréal, QC, H2J 1N5",45.503182,-73.569806,1,approximate,,,514 282-1553,accordailles.org/cooperegions,info@accordailles.org,office: Monday to Friday 8h00 to 16h00,"Accompaniment of seniors who live outside of Montréal and who need to travel to Montréal to receive health care.* Help in planning the stay.* Help in finding affordable housing for the stay.* Accompaniment by a volunteer during the stay: welcome upon arrival, accompaniment to medical appointments, friendly visits, friendly calls, help with groceries.",211,,0,0,All,65+
SVC_d85077d93d,ACCUEIL AUX IMMIGRANTS DE L'EST DE MONTRÉAL,Immigration & Newcomers,Shelter; Medical; Translation; Domestic Violence & Safety; Immigration & Newcomers; Employment & Income; Seniors; Youth & Family; Education & Literacy; Community & Advocacy; Recreation & Culture,"5960 Jean-Talon Street East, Suite 209, Saint-Léonard, Montréal, QC, H1S 1M2",45.585714,-73.579622,1,exact,,,514 723-4939,aiemont.com/en,info@aiemont.com,"Monday to Thursday 8h30 to 16h30, Friday 8h30 to 16h00, daycare: Monday to Wednesday 8h30 to 12h15 and 12h45 to 16h30 and 18h00 to 21h00, Thursday and Friday 8h30 to 12h15 and 12h45 to 16h30, Saturday and Sunday 8h30 to 12h30","* Reception and integration of immigrants: individual meetings, needs assessment, referral service, interpretation and translation service, information sessions on the functioning of the host society.* Assistance in filling out forms.* Information and guidance for the change of status for international students and obtaining work permits.* Assistance in finding housing.* Psychosocial services.* Cultural transition assistance.* Objective Integration (OI) session.* Family: early learning and development activities, le Nid des Anges drop-in daycare and assistance with school registration.* Individual meetings with Intercultural Community Interventionists: ICI- Health and ICI-Youth.* Recreational, sports and cultural activities for seniors.* Ampèrâge: elder abuse prevention, telephone and friendly visits, matching with a volunteer.* Training in business start-up.* Francization.* Courses: English and computer.* Tax clinic.",211,,0,1,All,Under 25; 25-44; 45-64; 65+
SVC_a8f1d35e60,ACCUEIL BONNEAU,Shelter,Shelter; Medical; Employment & Income; Material Aid,"427 de la Commune Street East, Ville-Marie, Montréal, QC, H2Y 1J4",45.510256,-73.550996,1,exact,,,514 845-3906,www.accueilbonneau.com/en,info@accueilbonneau.com,"meals: 7 days, 8h30 to 11h30, day centre: Monday to Friday 8h30 to 11h30, clothing depot: Tuesday and Thursday 8h30 to 11h30, barber: Thursday 8h30 to 11h30, barber and hairdressing service: Thursdays 8h30 to 11h00","Reception of individuals who are homeless or at risk of homelessness and day-to-day assistance with basic needs and in seeking a better quality of life and well-being.* Social reintegration.* Dining room.* Clothing depot.* Barber and hairdressing service.* Day centre: coffee, showers, art workshop, music studio, computers, etc.* Medium and long term housing.* Health: chiropractic care for residents and people in post- housing follow-up, optometry, denturology, dental care, medical and nursing care.* Regional Solidarity Trust: budget management assistance, bank account opening, check cashing, account payment, debts consolidation, etc.* Social Assistance and Support Program, socio-professional reintegration.* Compensatory work.* Tax clinic.* Distribution of new injection equipment to drug users (free service).",211; community_services,CTR_27ba4fef,0,0,All,25-44; 45-64
SVC_696ff86586,ACCUEIL BONNEAU - LE CHRISTIN,Shelter,Shelter,"330 Christin Street, Ville-Marie, Montréal, QC, H2X 1M4",45.511298,-73.565779,1,approximate,,,514 845-3906,www.accueilbonneau.com/en,info@accueilbonneau.com,,* Long-term housing.,211,,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_c2e916b962,ACCUEIL BONNEAU - MAISON CLAIRE-MÉNARD,Shelter,Shelter,Confidential Address,,,0,,,,514 845-3906,www.accueilbonneau.com/en,soutien.hebergement@accueilbonneau.com,,* Housing with an undetermined length of stay.,211,,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_9ba11e5771,ACCUEIL BONNEAU - MAISON EUGÉNIE-BERNIER,Shelter,Shelter,Confidential Address,,,0,,,,514 845-3906,www.accueilbonneau.com/en,soutien.hebergement@accueilbonneau.com,,* Housing with an undetermined length of stay.,211,,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_c64646adca,ACCUEIL BONNEAU - MAISON JOSEPH-VINCENT,Shelter,Shelter,Confidential Address,,,0,,,,514 845-3906,www.accueilbonneau.com/en,soutien.hebergement@accueilbonneau.com,,* Long-term transitional housing.,211,,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_a6cf37283a,ACCUEIL BONNEAU - TAX CLINIC,Medical,Medical; Employment & Income,"420 Saint-Paul Street East, Ville-Marie, Montréal, QC, H2Y 1H4",45.50108,-73.568126,1,approximate,,,514 845-3906,www.accueilbonneau.com/en,impots@accueilbonneau.com,"tax return period: from 3 March 2025, Monday to Friday 8h30 to 11h30, rest of the year: January and February, Monday to Friday 9h00 to 12h00, March to December Monday to Friday 8h30 to 11h30",Year-round tax clinic.,211,,0,0,All,25-44; 45-64
SVC_0e4c7258b0,ACCUEIL BONNEAU - USED ITEMS RECOVERY,Food,Food; Material Aid,"427 de la Commune Street East, Ville-Marie, Montréal, QC, H2Y 1J4",45.50108,-73.568126,1,approximate,,,514 845-3906,www.accueilbonneau.com/en,gestionnaire.saa@accueilbonneau.com,"donation reception: Monday to Friday 8h00 to 14h00, Saturday and Sunday 7h00 to 12h00, Go the garage door on the right side of the building","* On-site recovery of perishable and non-perishable food, clothes and books.* Most wanted items: winter boots, razors, belts, boxer shorts, jean pants, long-sleeved sweaters, hoodies, shoes, gloves and warm socks.",211,,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_57ddf0188d,ACCÈS BÉNÉVOLAT,Community & Advocacy,Seniors; Community & Advocacy,"2544 Rosemont Boulevard, Rosemont—La Petite-Patrie, Montréal, QC, H1Y 1K4",45.546967,-73.585533,1,exact,,,514 523-6599,www.accesbenevolat.org,info@accesbenevolat.org,Monday to Friday 9h00 to 17h00,"Promoting volunteerism and community initiatives.* Reception, training, referral and follow-up of volunteers.* Automated security calls service for seniors.* Services to organizations: needs analysis, recruitment assistance, volunteer selection and referral, volunteer management consultation and training.* Bonhomme à lunettes service point.",211,,0,0,All,65+
SVC_b67fe0a537,ACCÈS BÉNÉVOLAT - ACCOMPANIMENT-TRANSPORTATION,Community & Advocacy,Medical; Community & Advocacy,"2544 Rosemont Boulevard, Rosemont—La Petite-Patrie, Montréal, QC, H1Y 1K4",45.546967,-73.585533,1,exact,,,514 523-6599,www.accesbenevolat.org,sylvie.brunet@accesbenevolat.org,Monday to Friday 9h00 to 17h00,"* Accompaniment-transportation to medical appointments, with or without a car, by volunteers.",211,,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_6b167c71b1,ACCÈS CIBLE (SANTÉ MENTALE TRAVAIL),Medical,Medical; Employment & Income,"5650 D'Iberville Street, Suite 600, Rosemont—La Petite-Patrie, Montréal, QC, H2G 2B3",45.503182,-73.569806,1,approximate,,,514 525-8888,www.acces-cible.org,info@acces-cible-smt.qc.ca,Monday to Thursday 9h00 to 17h00,"Employability assistance and labor market integration.* Self-knowledge workshops, internship opportunities, job search and techniques.* Professional office automation update.* Job reintegration and retention.* Individual counselling and post-program follow-up.",211,,0,0,All,25-44; 45-64
SVC_6005d20483,ACCÈS-CIBLE JEUNESSE ROSEMONT (L'),Youth & Family,Youth & Family; Education & Literacy; Recreation & Culture,"5365 1st Avenue, Rosemont—La Petite-Patrie, Montréal, QC, H1Y 2Z8",45.550747,-73.58229,1,approximate,,,514 723-6723,www.acjr.ca,intervenantacjr@hotmail.com,"youth centre: Monday 15h30 to 19h00, Tuesday 15h30 to 20h30, Wednesday 15h30 to 21h00, Thursday 15h30 to 21h00, Friday 15h30 to 20h00, administration: Tuesday to Friday 13h30 to 16h00","Youth centre by and for young people.* Free recreational activities: sports, games.* Directed activities: improvisation workshops, thematic evenings, outings, etc.* Homework assistance.",211,,0,0,All,Under 25
SVC_53c0be8170,ACCÈS-TRAVAIL DE MONTRÉAL,Employment & Income,Employment & Income; Education & Literacy,"2030 Pie IX Boulevard, Suite 214, Mercier—Hochelaga-Maisonneuve, Montréal, QC, H1V 2C8",45.550225,-73.542641,1,approximate,A005,Mercier-Hochelaga-Maisonneuve,514 259-4690,www.accestravail.qc.ca,reception@accestravail.qc.ca,"Monday to Thursday 8h30 to 12h00 and 13h00 to 16h30, Friday by appointment only",* 3-week job search training following the club method.* Job search workshops.* Vocational and academic guidance.* Documentation room.* Access to Internet and to a phone.,211,,0,0,All,25-44; 45-64
SVC_5a51da7cdb,ACEF du Sud Ouest de Montréal,Community & Advocacy,Community & Advocacy,6734 Boulevard Monk,45.451574,-73.593231,1,exact,A011,Le Sud-Ouest,,,,,,community_services,CTR_5c659e79,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_bf44030462,ACOUPHÈNES QUÉBEC,Community & Advocacy,Community & Advocacy,"1405 Henri-Bourassa Boulevard West, Suite 100, Ahuntsic-Cartierville, Montréal, QC, H3M 3E6",45.538564,-73.658317,1,approximate,A007,Ahuntsic-Cartierville,1 877 276-7772,acouphenesquebec.org,info@acouphenesquebec.org,"Monday to Friday 8h30 to 16h30, support groups in the evening",* Helpline and information on tinnitus.* Support helpline.* Referral to regional professional resources.* Open mutual aid group every month.,211,,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_64012ec4fa,ACTE D'AMOUR !,Food,Food; Legal; Immigration & Newcomers; Seniors; Youth & Family; Education & Literacy; Material Aid; Recreation & Culture,"1111 Dr. Frederik-Philips Boulevard, 6th Floor, Saint-Laurent, Montréal, QC, H4M 2X6",45.496184,-73.701833,1,exact,,,514 419-3632,www.actedamour.ca,actedamour.ca@gmail.com,"does not receive clients at the office, holiday period: closed from december 20 until early january","Seniors* Sending friendship and comfort cards and memory games by mail.* Friendly phone calls.* Percussion workshops.* Cooking workshops.Teens and young adults* Civic engagement and mentoring program.* Menstrual calendar club (education and awareness about menstruation).* Social, recreational, and sports activities.* Workshops: self-esteem, leadership, violence prevention.* Cooking workshops.Immigrant women* Support and guidance.* Workshops on combating violence against girls and women.* Workshops: capacity building and awareness-raising on the rights of immigrant women with precarious status.General Services* Black History Month: combating racism and raising awareness about the contributions of Black people to Québec and Canadian society.* Christmas food baskets for vulnerable women with children 16 years old and under.* Christmas reception.* School supplies for vulnerable women with children 16 years old and under.",211,,0,1,Female,Under 25; 25-44; 45-64; 65+
SVC_c63de081f3,ACTION AUTONOMIE - COLLECTIVE FOR MENTAL HEALTH ADVOCACY IN MONTRÉAL,Medical,Medical; Legal,"3958 Dandurand Street, 3rd floor, Rosemont—La Petite-Patrie, Montréal, QC, H1X 1P7",45.503182,-73.569806,1,approximate,,,514 525-5060,www.actionautonomie.qc.ca,lecollectif@actionautonomie.qc.ca,"Monday to Friday, 9h00 to 12h00 and 13h00 to 17h00","* Helping relationship, support, accompaniment and referral.* Information on rights and recourses.* Advocacy of rights, awareness and training.* Representation and pressure to change certain practices that violate people's rights.",211,,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_f751bb2f8a,ACTION CENTRE,Medical,Medical,"2169 Marcel-Laurin Boulevard, Saint-Laurent, Montréal, QC, H4R 1K4",45.519557,-73.701379,1,exact,,,514 366-6868,centreaction.org,info@centreaction.org,Monday to Friday 8h30 to 16h30,"* Activity centre offering 21 workshops structured around 4 themes: education, art and creativity, health and well-being, community participation.* Weekly socio-cultural outings.",211,,0,0,All,Under 25; 25-44; 45-64; 65+
