service_id,name,primary_category,serves_indigenous,serves_immigrant,gender_focus,age_groups
SVC_8e39d4b59c,(PRAIDA),Shelter,0,1,All,Under 25; 25-44; 45-64; 65+
SVC_a9f037e737,(TNT),Other,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_24707c9b0b,"(VILLE-MARIE EST), ÎLE NOTRE-DAME, ÎLE SAINTE-HÉLÈNE, VIEUX-MONTRÉAL",Government Services,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_9500ac8f49,"(VILLE-MARIE OUEST), PARC DU MONT-ROYAL",Government Services,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_ee05aa29cf,211 GREATER MONTRÉAL AND GATINEAU,Community & Advocacy,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_9e37da8fd4,"3292, rue Cherrier L’Île -Bizard",Community & Advocacy,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_3b17f85202,5150 Gaspé - Bâtiment,Community & Advocacy,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_4fa6b262e3,555 MAPLE LEAF SQUADRON,Medical,0,0,All,Under 25
SVC_9e03f8bbf8,A deux mains,Community & Advocacy,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_cd5731a4e7,ABRI DE VILLERAY,Shelter,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_18ac97cfc3,ABRI EN VILLE (L'),Shelter,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_5d13d47d11,ACADEMOS CYBERMENTORAT,Youth & Family,0,0,All,Under 25; 25-44; 45-64
SVC_9d0d0d5887,ACCESS OPEN MINDS,Medical,1,0,All,Under 25
SVC_42ea49f407,ACCESS TO INFORMATION AND PRIVACY,Government Services,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_1cd1f8d6fa,ACCOMPAGNATEUR (L'),Shelter,0,0,All,Under 25
SVC_e729ed578d,ACCOMPANIMENT-TRANSPORTATION,Medical,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_20076e64d2,ACCORDAILLES (LES),Food,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_b087660250,ACCORDAILLES (LES) - ACCOMPANIMENT,Medical,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_871ca0d6b8,ACCORDAILLES (LES) - COOPÉRÉGIONS,Shelter,0,0,All,65+
SVC_d85077d93d,ACCUEIL AUX IMMIGRANTS DE L'EST DE MONTRÉAL,Immigration & Newcomers,0,1,All,Under 25; 25-44; 45-64; 65+
SVC_a8f1d35e60,ACCUEIL BONNEAU,Shelter,0,0,All,25-44; 45-64
SVC_696ff86586,ACCUEIL BONNEAU - LE CHRISTIN,Shelter,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_c2e916b962,ACCUEIL BONNEAU - MAISON CLAIRE-MÉNARD,Shelter,0,0,All,Under 25; 25-44; 45-64; 65+
SVC_9ba11e5771,ACCUEIL BONNEAU - MAISON EUGÉNIE-BERNIER,Shelter,0,0,All,Under 25; 25-44; 45-64; 65+
