dataset,record_id,issue_type,matched_area_ids,expected_area_id,longitude,latitude
service_centers,CTR_ccb3e723,unmatched_outside_study_area,,,-73.562313,45.515455
service_centers,CTR_e28f0f32,unmatched_outside_study_area,,,-73.70572,45.502848
service_centers,CTR_d5ce1961,unmatched_outside_study_area,,,-73.552613,45.533018
service_centers,CTR_5490f02b,unmatched_outside_study_area,,,-73.575989,45.601289
service_centers,CTR_0b77e8fd,unmatched_outside_study_area,,,-73.882546,45.489477
service_centers,CTR_2a480768,unmatched_outside_study_area,,,-73.558404,45.602958
service_centers,CTR_6d184519,unmatched_outside_study_area,,,-73.598256,45.547385
service_centers,CTR_be7637b4,unmatched_outside_study_area,,,-73.59781,45.531743
service_centers,CTR_0605eb57,unmatched_outside_study_area,,,-73.623449,45.42434
service_centers,CTR_08ae3b01,unmatched_outside_study_area,,,-73.56267,45.522789
service_centers,CTR_8d56a0a5,unmatched_outside_study_area,,,-73.847172,45.495191
service_centers,CTR_956f7232,unmatched_outside_study_area,,,-73.608501,45.517746
service_centers,CTR_dc72294a,unmatched_outside_study_area,,,-73.582018,45.551518
service_centers,CTR_e4e90479,unmatched_outside_study_area,,,-73.813309,45.504133
service_centers,CTR_04f7484d,unmatched_outside_study_area,,,-73.676562,45.51269
service_centers,CTR_40c50f99,unmatched_outside_study_area,,,-73.597192,45.586646
service_centers,CTR_71aadb63,unmatched_outside_study_area,,,-73.598271,45.547388
service_centers,CTR_0f3cc759,unmatched_outside_study_area,,,-73.691354,45.51407
service_centers,CTR_2696641e,unmatched_outside_study_area,,,-73.785883,45.504882
service_centers,CTR_a44fa433,unmatched_outside_study_area,,,-73.849793,45.496931
service_centers,CTR_b5989e47,unmatched_outside_study_area,,,-73.594433,45.430985
service_centers,CTR_313c34cf,unmatched_outside_study_area,,,-73.70572,45.502848
service_centers,CTR_87c30d6b,unmatched_outside_study_area,,,-73.564166,45.606488
service_centers,CTR_f79f4e81,unmatched_outside_study_area,,,-73.56851,45.513484
service_centers,CTR_7dc8252e,unmatched_outside_study_area,,,-73.592119,45.548052
service_centers,CTR_e577e8eb,unmatched_outside_study_area,,,-73.582198,45.604411
service_centers,CTR_60103485,unmatched_outside_study_area,,,-73.814118,45.510959
service_centers,CTR_e5ef864a,unmatched_outside_study_area,,,-73.57641,45.496527
service_centers,CTR_58f7a91b,unmatched_outside_study_area,,,-73.608501,45.517746
service_centers,CTR_ad53b0be,unmatched_outside_study_area,,,-73.597192,45.586646
service_centers,CTR_a18d27c9,unmatched_outside_study_area,,,-73.550424,45.601994
service_centers,CTR_004c958c,unmatched_outside_study_area,,,-73.552613,45.533018
service_centers,CTR_e21c693c,unmatched_outside_study_area,,,-73.578694,45.555336
service_centers,CTR_598068e5,unmatched_outside_study_area,,,-73.869385,45.48349
service_centers,CTR_55da01c2,unmatched_outside_study_area,,,-73.597192,45.586646
service_centers,CTR_ba3cb973,unmatched_outside_study_area,,,-73.672502,45.511694
service_centers,CTR_ea99a7e2,unmatched_outside_study_area,,,-73.553505,45.496053
service_centers,CTR_5112ec7d,unmatched_outside_study_area,,,-73.595684,45.585931
service_centers,CTR_672f67d0,unmatched_outside_study_area,,,-73.608956,45.520107
service_centers,CTR_8640eb73,unmatched_outside_study_area,,,-73.555722,45.501031
service_centers,CTR_30c34383,unmatched_outside_study_area,,,-73.557967,45.560949
service_centers,CTR_aeb416fa,unmatched_outside_study_area,,,-73.558102,45.558295
service_centers,CTR_3b90c0eb,unmatched_outside_study_area,,,-73.554059,45.502568
service_centers,CTR_2a16110a,unmatched_outside_study_area,,,-73.704769,45.508326
service_centers,CTR_9afcf12b,unmatched_outside_study_area,,,-73.622607,45.417285
service_centers,CTR_f117fe7e,unmatched_outside_study_area,,,-73.607367,45.589467
service_centers,CTR_ba0b2fa4,unmatched_outside_study_area,,,-73.55357,45.534572
service_centers,CTR_998aa29c,unmatched_outside_study_area,,,-73.888363,45.495181
service_centers,CTR_cdbd0c49,unmatched_outside_study_area,,,-73.637036,45.420403
service_centers,CTR_4a7eff1d,unmatched_outside_study_area,,,-73.723831,45.50231
service_centers,CTR_d119f417,unmatched_outside_study_area,,,-73.583805,45.603326
service_centers,CTR_76f84c45,unmatched_outside_study_area,,,-73.547255,45.618599
service_centers,CTR_2f06664b,unmatched_outside_study_area,,,-73.717368,45.505872
service_centers,CTR_46f30370,unmatched_outside_study_area,,,-73.594102,45.539651
service_centers,CTR_f863fc1a,unmatched_outside_study_area,,,-73.609481,45.51648
service_centers,CTR_40c16481,unmatched_outside_study_area,,,-73.57999,45.505703
service_centers,CTR_06a06ccc,unmatched_outside_study_area,,,-73.579669,45.505991
service_centers,CTR_efda3c4e,unmatched_outside_study_area,,,-73.882683,45.457634
service_centers,CTR_cb525b83,unmatched_outside_study_area,,,-73.884864,45.487085
service_centers,CTR_36a8b6e7,unmatched_outside_study_area,,,-73.884357,45.487368
service_centers,CTR_85206ff4,unmatched_outside_study_area,,,-73.882267,45.48694
service_centers,CTR_38c98bf7,unmatched_outside_study_area,,,-73.609146,45.515794
service_centers,CTR_31e364f2,unmatched_outside_study_area,,,-73.556726,45.602131
service_centers,CTR_5aadaaef,unmatched_outside_study_area,,,-73.676479,45.517218
service_centers,CTR_ed167ae7,unmatched_outside_study_area,,,-73.609077,45.510434
service_centers,CTR_36e0f359,unmatched_outside_study_area,,,-73.882886,45.486295
service_centers,CTR_535cd416,unmatched_outside_study_area,,,-73.882468,45.485941
service_centers,CTR_cd1bb13a,unmatched_outside_study_area,,,-73.599666,45.585818
service_centers,CTR_3383dc55,unmatched_outside_study_area,,,-73.706861,45.508108
service_centers,CTR_75084811,unmatched_outside_study_area,,,-73.690544,45.521179
service_centers,CTR_f177ee3e,unmatched_outside_study_area,,,-73.702943,45.501804
service_centers,CTR_3a96292a,unmatched_outside_study_area,,,-73.567354,45.493215
service_centers,CTR_b5071e44,unmatched_outside_study_area,,,-73.591537,45.591885
service_centers,CTR_bba7cec1,unmatched_outside_study_area,,,-73.591129,45.591473
service_centers,CTR_4fd05848,unmatched_outside_study_area,,,-73.591261,45.591771
service_centers,CTR_58f7cc15,unmatched_outside_study_area,,,-73.732935,45.507173
service_centers,CTR_d97c2599,unmatched_outside_study_area,,,-73.733107,45.507258
service_centers,CTR_6f277b7f,unmatched_outside_study_area,,,-73.72724,45.50997
service_centers,CTR_2690ece7,unmatched_outside_study_area,,,-73.597537,45.497031
service_centers,CTR_a8b7099a,unmatched_outside_study_area,,,-73.596566,45.498929
service_centers,CTR_dbb77377,unmatched_outside_study_area,,,-73.560707,45.552345
service_centers,CTR_5470218f,unmatched_outside_study_area,,,-73.59175,45.502774
service_centers,CTR_da4b6798,unmatched_outside_study_area,,,-73.726894,45.510018
service_centers,CTR_53b0946d,unmatched_outside_study_area,,,-73.596725,45.497997
service_centers,CTR_285c8824,unmatched_outside_study_area,,,-73.581999,45.555139
service_centers,CTR_4b4a319e,unmatched_outside_study_area,,,-73.588879,45.515382
service_centers,CTR_bad0b153,unmatched_outside_study_area,,,-73.585522,45.513932
service_centers,CTR_b115beed,unmatched_outside_study_area,,,-73.56682,45.54403
service_centers,CTR_af405443,unmatched_outside_study_area,,,-73.942861,45.460307
service_centers,CTR_588781d8,unmatched_outside_study_area,,,-73.945828,45.462743
service_centers,CTR_0c518379,unmatched_outside_study_area,,,-73.5957,45.423117
service_centers,CTR_40ad0ba6,unmatched_outside_study_area,,,-73.782036,45.504891
service_centers,CTR_d33d545b,unmatched_outside_study_area,,,-73.705968,45.507577
service_centers,CTR_e4ce9c9c,unmatched_outside_study_area,,,-73.61529,45.415827
service_centers,CTR_8022ea89,unmatched_outside_study_area,,,-73.58049,45.560015
service_centers,CTR_e9613ca2,unmatched_outside_study_area,,,-73.88187,45.486587
service_centers,CTR_3a808dc0,unmatched_outside_study_area,,,-73.71927,45.504543
