ct_code,dguid,centroid_lon,centroid_lat
4620725.07,2021S05074620725.07,-73.932369,45.576147
4620652.04,2021S05074620652.04,-73.812231,45.528124
4620887.05,2021S05074620887.05,-73.438509,45.581269
4620887.06,2021S05074620887.06,-73.426285,45.574641
4620887.07,2021S05074620887.07,-73.411391,45.556335
4620688.03,2021S05074620688.03,-73.819921,45.76567
4620688.04,2021S05074620688.04,-73.807423,45.763682
4620001.00,2021S05074620001.00,-73.511428,45.606762
4620002.00,2021S05074620002.00,-73.51689,45.607005
4620003.00,2021S05074620003.00,-73.523058,45.608432
4620004.00,2021S05074620004.00,-73.524512,45.601583
4620005.00,2021S05074620005.00,-73.513559,45.598977
4620006.00,2021S05074620006.00,-73.512812,45.592833
4620007.00,2021S05074620007.00,-73.527707,45.595607
4620008.00,2021S05074620008.00,-73.514096,45.588815
4620009.00,2021S05074620009.00,-73.521039,45.574575
4620010.00,2021S05074620010.00,-73.532636,45.574639
4620011.00,2021S05074620011.00,-73.533988,45.586636
4620013.00,2021S05074620013.00,-73.543922,45.570926
4620015.00,2021S05074620015.00,-73.534796,45.558898
4620016.00,2021S05074620016.00,-73.526829,45.556461
4620017.00,2021S05074620017.00,-73.532407,45.553995
4620018.00,2021S05074620018.00,-73.533699,45.552072
4620019.00,2021S05074620019.00,-73.535064,45.549676
4620021.00,2021S05074620021.00,-73.535242,45.545103
4620022.00,2021S05074620022.00,-73.538485,45.541464
4620023.00,2021S05074620023.00,-73.541789,45.5372
4620024.00,2021S05074620024.00,-73.545087,45.540818
4620025.00,2021S05074620025.00,-73.541189,45.547023
4620026.00,2021S05074620026.00,-73.544607,45.548587
4620027.00,2021S05074620027.00,-73.547026,45.544845
4620028.00,2021S05074620028.00,-73.549289,45.541281
4620029.00,2021S05074620029.00,-73.550272,45.545844
4620030.00,2021S05074620030.00,-73.552262,45.550752
4620031.00,2021S05074620031.00,-73.555351,45.543657
4620032.00,2021S05074620032.00,-73.558763,45.537628
4620033.00,2021S05074620033.00,-73.555866,45.536849
4620034.00,2021S05074620034.00,-73.55258,45.536038
4620035.00,2021S05074620035.00,-73.557841,45.533109
4620036.00,2021S05074620036.00,-73.559362,45.530766
4620037.00,2021S05074620037.00,-73.549542,45.532775
4620038.00,2021S05074620038.00,-73.550633,45.528978
4620039.00,2021S05074620039.00,-73.545885,45.5273
4620040.00,2021S05074620040.00,-73.530914,45.513738
4620041.00,2021S05074620041.00,-73.549495,45.522788
4620042.00,2021S05074620042.00,-73.552665,45.520352
4620043.00,2021S05074620043.00,-73.550319,45.517923
4620044.00,2021S05074620044.00,-73.559305,45.51978
4620045.00,2021S05074620045.00,-73.555317,45.521589
4620046.00,2021S05074620046.00,-73.558625,45.523196
4620047.00,2021S05074620047.00,-73.556271,45.526006
4620048.00,2021S05074620048.00,-73.560924,45.528223
4620049.00,2021S05074620049.00,-73.562543,45.525054
4620050.00,2021S05074620050.00,-73.563879,45.521957
4620051.00,2021S05074620051.00,-73.56376,45.517212
4620052.00,2021S05074620052.00,-73.560806,45.517758
4620053.00,2021S05074620053.00,-73.557617,45.515063
4620054.00,2021S05074620054.00,-73.554846,45.513722
4620056.00,2021S05074620056.00,-73.562101,45.506551
4620057.00,2021S05074620057.00,-73.559789,45.509317
4620058.00,2021S05074620058.00,-73.558216,45.511293
4620059.00,2021S05074620059.00,-73.565566,45.513634
4620060.00,2021S05074620060.00,-73.564508,45.512639
4620061.00,2021S05074620061.00,-73.567802,45.509337
4620062.00,2021S05074620062.00,-73.568474,45.502503
4620063.00,2021S05074620063.00,-73.572419,45.496201
4620064.00,2021S05074620064.00,-73.577266,45.498389
4620067.00,2021S05074620067.00,-73.577871,45.486546
4620068.00,2021S05074620068.00,-73.573549,45.489942
4620071.00,2021S05074620071.00,-73.550604,45.488776
4620072.00,2021S05074620072.00,-73.549931,45.479557
4620073.00,2021S05074620073.00,-73.560437,45.485434
4620074.00,2021S05074620074.00,-73.563328,45.476441
4620075.00,2021S05074620075.00,-73.566186,45.478784
4620076.00,2021S05074620076.00,-73.568631,45.48087
4620077.00,2021S05074620077.00,-73.568726,45.487445
4620078.00,2021S05074620078.00,-73.57471,45.483042
4620079.00,2021S05074620079.00,-73.581315,45.477983
4620080.00,2021S05074620080.00,-73.582171,45.483317
4620081.00,2021S05074620081.00,-73.587424,45.479485
4620082.00,2021S05074620082.00,-73.593053,45.474526
4620083.00,2021S05074620083.00,-73.58725,45.472176
4620084.00,2021S05074620084.00,-73.593529,45.468701
4620085.00,2021S05074620085.00,-73.580344,45.469181
4620086.00,2021S05074620086.00,-73.584553,45.459411
4620087.00,2021S05074620087.00,-73.592804,45.46246
4620088.00,2021S05074620088.00,-73.592193,45.458379
4620089.00,2021S05074620089.00,-73.589409,45.452521
4620090.00,2021S05074620090.00,-73.597599,45.44816
4620091.00,2021S05074620091.00,-73.602755,45.442443
4620092.00,2021S05074620092.00,-73.599586,45.452888
4620093.00,2021S05074620093.00,-73.603295,45.457981
4620095.00,2021S05074620095.00,-73.605721,45.474378
4620096.00,2021S05074620096.00,-73.612157,45.470762
4620098.00,2021S05074620098.00,-73.648073,45.459489
4620099.00,2021S05074620099.00,-73.632334,45.464986
4620102.00,2021S05074620102.00,-73.632871,45.473728
4620103.00,2021S05074620103.00,-73.623383,45.469836
4620104.00,2021S05074620104.00,-73.618871,45.473188
4620105.00,2021S05074620105.00,-73.627032,45.476487
4620106.00,2021S05074620106.00,-73.61908,45.476843
4620107.00,2021S05074620107.00,-73.614607,45.476124
4620108.00,2021S05074620108.00,-73.614521,45.479411
4620109.00,2021S05074620109.00,-73.623522,45.483174
4620110.00,2021S05074620110.00,-73.62762,45.480701
4620111.00,2021S05074620111.00,-73.6399,45.486244
4620113.00,2021S05074620113.00,-73.631107,45.488028
4620114.00,2021S05074620114.00,-73.622584,45.485468
4620116.00,2021S05074620116.00,-73.626102,45.493637
4620117.00,2021S05074620117.00,-73.632019,45.496315
4620118.00,2021S05074620118.00,-73.635722,45.497974
4620119.00,2021S05074620119.00,-73.641368,45.500519
4620121.00,2021S05074620121.00,-73.637116,45.510346
4620122.00,2021S05074620122.00,-73.63313,45.506143
4620123.00,2021S05074620123.00,-73.62673,45.503267
4620124.00,2021S05074620124.00,-73.62652,45.509732
4620125.00,2021S05074620125.00,-73.62348,45.512377
4620126.00,2021S05074620126.00,-73.614831,45.504811
4620128.00,2021S05074620128.00,-73.590386,45.503193
4620130.00,2021S05074620130.00,-73.576094,45.50755
4620131.00,2021S05074620131.00,-73.575088,45.509288
4620132.00,2021S05074620132.00,-73.573492,45.511793
4620133.00,2021S05074620133.00,-73.571511,45.514977
4620134.00,2021S05074620134.00,-73.570178,45.517058
4620135.00,2021S05074620135.00,-73.575685,45.51958
4620136.00,2021S05074620136.00,-73.577389,45.517664
4620137.00,2021S05074620137.00,-73.578738,45.514238
4620138.00,2021S05074620138.00,-73.584338,45.516889
4620139.00,2021S05074620139.00,-73.582284,45.520972
4620140.00,2021S05074620140.00,-73.579895,45.525451
4620141.00,2021S05074620141.00,-73.57749,45.524388
4620142.00,2021S05074620142.00,-73.575246,45.523215
4620143.00,2021S05074620143.00,-73.571051,45.519764
4620144.00,2021S05074620144.00,-73.569683,45.521864
4620145.00,2021S05074620145.00,-73.568497,45.526206
4620146.00,2021S05074620146.00,-73.575603,45.52798
4620147.00,2021S05074620147.00,-73.573283,45.530414
4620148.00,2021S05074620148.00,-73.570973,45.532855
4620149.00,2021S05074620149.00,-73.565988,45.530454
4620150.00,2021S05074620150.00,-73.563974,45.533804
4620151.00,2021S05074620151.00,-73.56903,45.534886
4620152.00,2021S05074620152.00,-73.567103,45.536855
4620153.00,2021S05074620153.00,-73.564914,45.539041
4620154.00,2021S05074620154.00,-73.572176,45.539046
4620155.00,2021S05074620155.00,-73.574045,45.53717
4620156.00,2021S05074620156.00,-73.57595,45.535178
4620157.00,2021S05074620157.00,-73.578265,45.532725
4620158.00,2021S05074620158.00,-73.58059,45.530262
4620159.00,2021S05074620159.00,-73.582615,45.528099
4620160.00,2021S05074620160.00,-73.584477,45.526077
4620161.00,2021S05074620161.00,-73.586114,45.522693
4620162.00,2021S05074620162.00,-73.588565,45.523832
4620163.00,2021S05074620163.00,-73.590342,45.519545
4620164.00,2021S05074620164.00,-73.59261,45.517514
4620165.00,2021S05074620165.00,-73.603336,45.522224
4620166.00,2021S05074620166.00,-73.612986,45.528237
4620167.00,2021S05074620167.00,-73.606431,45.526364
4620168.00,2021S05074620168.00,-73.59931,45.521904
4620169.00,2021S05074620169.00,-73.598679,45.523264
4620170.00,2021S05074620170.00,-73.597267,45.524246
4620171.00,2021S05074620171.00,-73.594858,45.526491
4620172.00,2021S05074620172.00,-73.591012,45.529029
4620173.00,2021S05074620173.00,-73.588862,45.53082
4620174.00,2021S05074620174.00,-73.586904,45.533045
4620175.00,2021S05074620175.00,-73.585024,45.534925
4620176.00,2021S05074620176.00,-73.583362,45.536012
4620177.00,2021S05074620177.00,-73.582266,45.537312
4620178.00,2021S05074620178.00,-73.579107,45.539462
4620179.00,2021S05074620179.00,-73.584598,45.542336
4620180.00,2021S05074620180.00,-73.580901,45.546104
4620181.00,2021S05074620181.00,-73.57372,45.545364
4620182.00,2021S05074620182.00,-73.579449,45.548457
4620183.00,2021S05074620183.00,-73.578253,45.550066
4620184.00,2021S05074620184.00,-73.576627,45.552288
4620185.00,2021S05074620185.00,-73.57347,45.556739
4620186.00,2021S05074620186.00,-73.569263,45.55225
4620189.00,2021S05074620189.00,-73.562311,45.562102
4620191.00,2021S05074620191.00,-73.547261,45.586459
4620192.00,2021S05074620192.00,-73.539047,45.598629
4620193.00,2021S05074620193.00,-73.534973,45.604834
4620196.00,2021S05074620196.00,-73.567561,45.572144
4620197.00,2021S05074620197.00,-73.574733,45.574592
4620198.00,2021S05074620198.00,-73.576232,45.56846
4620199.00,2021S05074620199.00,-73.575183,45.563425
4620200.00,2021S05074620200.00,-73.582243,45.565658
4620201.00,2021S05074620201.00,-73.583258,45.55977
4620202.00,2021S05074620202.00,-73.587789,45.554574
4620203.00,2021S05074620203.00,-73.593591,45.551928
4620204.00,2021S05074620204.00,-73.58724,45.549507
4620205.00,2021S05074620205.00,-73.590102,45.546368
4620206.00,2021S05074620206.00,-73.596235,45.54921
4620207.00,2021S05074620207.00,-73.598689,45.546257
4620208.00,2021S05074620208.00,-73.592624,45.543456
4620209.00,2021S05074620209.00,-73.597774,45.541805
4620210.00,2021S05074620210.00,-73.594572,45.535281
4620211.00,2021S05074620211.00,-73.599422,45.537703
4620212.00,2021S05074620212.00,-73.602728,45.539197
4620213.00,2021S05074620213.00,-73.606185,45.540741
4620214.00,2021S05074620214.00,-73.608896,45.537279
4620215.00,2021S05074620215.00,-73.599487,45.533016
4620216.00,2021S05074620216.00,-73.6029,45.530643
4620217.00,2021S05074620217.00,-73.608491,45.532887
4620218.00,2021S05074620218.00,-73.613242,45.535045
4620219.00,2021S05074620219.00,-73.614527,45.531306
4620220.00,2021S05074620220.00,-73.622834,45.529154
4620221.00,2021S05074620221.00,-73.625381,45.526003
4620222.00,2021S05074620222.00,-73.633787,45.528371
4620224.00,2021S05074620224.00,-73.63625,45.532257
4620225.00,2021S05074620225.00,-73.63843,45.537334
4620226.00,2021S05074620226.00,-73.636745,45.542644
4620227.00,2021S05074620227.00,-73.631821,45.541226
4620228.00,2021S05074620228.00,-73.628703,45.540336
4620229.00,2021S05074620229.00,-73.628448,45.53509
4620230.00,2021S05074620230.00,-73.62561,45.539435
4620231.00,2021S05074620231.00,-73.622659,45.538552
4620232.00,2021S05074620232.00,-73.619998,45.535691
4620233.00,2021S05074620233.00,-73.618346,45.54015
4620234.00,2021S05074620234.00,-73.618092,45.54181
4620235.00,2021S05074620235.00,-73.623616,45.543128
4620236.00,2021S05074620236.00,-73.626618,45.543951
4620237.00,2021S05074620237.00,-73.633145,45.545067
4620238.00,2021S05074620238.00,-73.631603,45.547007
4620239.00,2021S05074620239.00,-73.624949,45.548307
4620240.00,2021S05074620240.00,-73.620309,45.551564
4620241.00,2021S05074620241.00,-73.616102,45.553802
4620242.00,2021S05074620242.00,-73.607599,45.550145
4620243.00,2021S05074620243.00,-73.612144,45.548238
4620244.00,2021S05074620244.00,-73.61413,45.54584
4620245.00,2021S05074620245.00,-73.616107,45.5437
4620247.00,2021S05074620247.00,-73.609644,45.542311
4620249.00,2021S05074620249.00,-73.607576,45.554
4620250.00,2021S05074620250.00,-73.605062,45.556686
4620252.00,2021S05074620252.00,-73.594379,45.562027
4620253.00,2021S05074620253.00,-73.601977,45.565259
4620254.00,2021S05074620254.00,-73.59543,45.567718
4620256.00,2021S05074620256.00,-73.62162,45.562066
4620257.00,2021S05074620257.00,-73.613159,45.570832
4620258.00,2021S05074620258.00,-73.60856,45.575814
4620259.00,2021S05074620259.00,-73.622037,45.581932
4620260.00,2021S05074620260.00,-73.629947,45.578155
4620261.00,2021S05074620261.00,-73.623595,45.575491
4620262.00,2021S05074620262.00,-73.632085,45.566385
4620263.00,2021S05074620263.00,-73.637937,45.569107
4620265.00,2021S05074620265.00,-73.644501,45.55009
4620266.00,2021S05074620266.00,-73.647362,45.546322
4620267.00,2021S05074620267.00,-73.65141,45.540157
4620269.00,2021S05074620269.00,-73.663346,45.542807
4620270.00,2021S05074620270.00,-73.658289,45.551135
4620271.00,2021S05074620271.00,-73.654343,45.557854
4620272.00,2021S05074620272.00,-73.651122,45.563611
4620273.00,2021S05074620273.00,-73.64701,45.56956
4620274.00,2021S05074620274.00,-73.64239,45.575058
4620275.00,2021S05074620275.00,-73.651796,45.57883
4620276.00,2021S05074620276.00,-73.657446,45.573872
4620277.00,2021S05074620277.00,-73.659161,45.566684
4620278.00,2021S05074620278.00,-73.663945,45.560473
4620279.00,2021S05074620279.00,-73.668421,45.554181
4620280.00,2021S05074620280.00,-73.670869,45.544554
4620281.00,2021S05074620281.00,-73.680151,45.546288
4620282.00,2021S05074620282.00,-73.689977,45.541787
4620284.00,2021S05074620284.00,-73.703551,45.540235
4620285.00,2021S05074620285.00,-73.710935,45.533235
4620286.00,2021S05074620286.00,-73.699497,45.529054
4620288.00,2021S05074620288.00,-73.744947,45.514668
4620300.00,2021S05074620300.00,-73.562742,45.46684
4620301.00,2021S05074620301.00,-73.568419,45.470886
4620302.00,2021S05074620302.00,-73.569523,45.465082
4620303.00,2021S05074620303.00,-73.576363,45.46513
4620304.00,2021S05074620304.00,-73.57586,45.461429
