center_id,center_name,latitude,longitude,address,service_categories,hours,languages,indigenous_led_or_specific
CTR_a844b4eb,Biodôme de Montréal,45.559602,-73.54971,"4777, avenue Pierre-De-Coubertin",Library & Culture,,,False
CTR_ccb3e723,Grande Bibliothèque - Bibliothèque et Archives nationales du Québec,45.515455,-73.562313,"475, boulevard De Maisonneuve Est",Library & Culture,,,False
CTR_0a899f71,Bibliothèque d'Ahuntsic,45.553921,-73.663774,"10300, rue Lajeunesse",Library & Culture,,,False
CTR_7279e6c6,Bibliothèque de Belleville,45.581949,-73.642196,"10400, avenue de Belleville",Library & Culture,,,False
CTR_2abe1d3f,Bibliothèque Benny,45.465327,-73.627692,"6400, avenue de Monkland ",Library & Culture,,,False
CTR_e28f0f32,Bibliothèque du Boisé,45.502848,-73.70572,"2727, boulevard Thimens",Library & Culture,,,False
CTR_900d5e2e,Bibliothèque de Cartierville,45.527111,-73.712992,"5900, rue De Salaberry",Library & Culture,,,False
CTR_2d73e7bc,Bibliothèque Yves-Ryan,45.596511,-73.631417,"4740, rue de Charleroi",Library & Culture,,,False
CTR_dfafaa74,Bibliothèque de Côte-des-Neiges,45.496062,-73.622118,"5290, chemin de la Côte-des-Neiges",Library & Culture,,,False
CTR_f58dabcb,Bibliothèque de la Maison culturelle et communautaire de Montréal-Nord,45.616304,-73.620673,"12002, boulevard Rolland",Library & Culture,,,False
CTR_d5ce1961,Bibliothèque Frontenac,45.533018,-73.552613,"2550, rue Ontario",Library & Culture,,,False
CTR_21b85c76,Bibliothèque Georges-Vanier,45.483521,-73.575133,"2450, rue Workman (angle Vinet)",Library & Culture,,,False
CTR_5490f02b,Bibliothèque du Haut-Anjou,45.601289,-73.575989,"7070, rue Jarry Est",Library & Culture,,,False
CTR_00895560,Bibliothèque Henri-Bourassa,45.604671,-73.625197,"5400, boulevard Henri-Bourassa Est",Library & Culture,,,False
CTR_bfaa22ea,Bibliothèque d'Hochelaga,45.54279,-73.545518,"1870, rue Davidson",Library & Culture,,,False
CTR_b0eff495,Bibliothèque de l’Île des Sœurs,45.457141,-73.546657,"260, rue Elgar",Library & Culture,,,False
CTR_0b77e8fd,Bibliothèque de L'Île-Bizard,45.489477,-73.882546,"500, montée de l'Église",Library & Culture,,,False
CTR_4e55ac66,Bibliothèque interculturelle,45.503243,-73.636904,"6767, chemin de la Côte-des-Neiges",Library & Culture,,,False
CTR_2a480768,Bibliothèque Jean-Corbeil,45.602958,-73.558404,"7500, avenue Goncourt",Library & Culture,,,False
CTR_6d184519,Bibliothèque de La Petite-Patrie,45.547385,-73.598256,"6707, avenue De Lorimier",Library & Culture,,,False
CTR_abec8a40,Bibliothèque Langelier,45.581715,-73.544069,"6473, rue Sherbrooke Est",Library & Culture,,,False
CTR_e20dcf03,Bibliothèque Le Prévost,45.543887,-73.614577,"7355, avenue Christophe-Colomb",Library & Culture,,,False
CTR_ab154440,Bibliothèque Maisonneuve,45.551056,-73.540722,"4120, rue Ontario Est",Library & Culture,,,False
CTR_be7637b4,Bibliothèque Marc-Favreau,45.531743,-73.59781,"500, boulevard Rosemont",Library & Culture,,,False
CTR_6ed5b0a0,Bibliothèque Marie-Uguay,45.457717,-73.595553,"6052, boulevard Monk",Library & Culture,,,False
