visit_group_id,center_id,period_start,period_end,key_need,k_anon_count,severity,population_group,language_need_flag,settlement_need_flag,indigenous_specific_need_flag
VG_000001,CTR_38f79979,2026-04-01,2026-06-30,Mental Health,14,low,immigrant_newcomer,True,True,False
VG_000002,CTR_38f79979,2026-04-01,2026-06-30,Housing & Shelter,20,low,general,False,False,False
VG_000003,CTR_38f79979,2026-04-01,2026-06-30,Settlement Navigation,19,low,immigrant_newcomer,True,True,False
VG_000004,CTR_a6ca7d4b,2026-04-01,2026-06-30,General Support,31,low,,False,False,False
VG_000005,CTR_a6ca7d4b,2026-04-01,2026-06-30,Language Access,25,low,immigrant_newcomer,True,True,False
VG_000006,CTR_a6ca7d4b,2026-04-01,2026-06-30,Mental Health,11,medium,immigrant_newcomer,True,True,False
VG_000007,CTR_1e3aa5e7,2026-04-01,2026-06-30,Legal Aid,91,medium,,False,False,False
VG_000008,CTR_1e3aa5e7,2026-04-01,2026-06-30,Housing & Shelter,49,high,immigrant_newcomer,True,True,False
VG_000009,CTR_a5fe7842,2026-04-01,2026-06-30,Employment,15,high,general,False,False,False
VG_000010,CTR_a5fe7842,2026-04-01,2026-06-30,Mental Health,16,low,general,False,False,False
VG_000011,CTR_a5fe7842,2026-04-01,2026-06-30,Housing & Shelter,21,medium,general,False,False,False
VG_000012,CTR_2777c9f9,2026-04-01,2026-06-30,Family Services,24,low,,False,False,False
VG_000013,CTR_a90f5e45,2026-04-01,2026-06-30,Employment,32,low,general,False,False,False
VG_000014,CTR_0e4b5031,2026-04-01,2026-06-30,Settlement Navigation,8,medium,immigrant_newcomer,True,True,False
VG_000015,CTR_0e4b5031,2026-04-01,2026-06-30,Employment,22,medium,immigrant_newcomer,True,True,False
VG_000016,CTR_0e4b5031,2026-04-01,2026-06-30,General Support,10,medium,,False,False,False
VG_000017,CTR_5404afc4,2026-04-01,2026-06-30,Food Support,32,low,general,False,False,False
VG_000018,CTR_71177492,2026-04-01,2026-06-30,Family Services,23,high,general,False,False,False
VG_000019,CTR_71177492,2026-04-01,2026-06-30,Legal Aid,29,low,immigrant_newcomer,True,True,False
VG_000020,CTR_b61e17f1,2026-04-01,2026-06-30,Family Services,12,low,general,False,False,False
VG_000021,CTR_c9e2ddc6,2026-04-01,2026-06-30,Family Services,40,low,immigrant_newcomer,True,True,False
VG_000022,CTR_31430001,2026-04-01,2026-06-30,Food Support,18,medium,immigrant_newcomer,True,True,False
VG_000023,CTR_31430001,2026-04-01,2026-06-30,Family Services,13,medium,immigrant_newcomer,True,True,False
VG_000024,CTR_b71d643e,2026-04-01,2026-06-30,Mental Health,19,medium,,False,False,False
VG_000025,CTR_c0f4f36f,2026-04-01,2026-06-30,Food Support,47,medium,,False,False,False
VG_000026,CTR_c0f4f36f,2026-04-01,2026-06-30,Legal Aid,16,low,,False,False,False
VG_000027,CTR_c0f4f36f,2026-04-01,2026-06-30,Family Services,21,low,general,False,False,False
VG_000028,CTR_4a1f2b27,2026-04-01,2026-06-30,Housing & Shelter,10,low,general,False,False,False
VG_000029,CTR_4a1f2b27,2026-04-01,2026-06-30,Employment,20,medium,general,False,False,False
VG_000030,CTR_4a1f2b27,2026-04-01,2026-06-30,General Support,13,medium,,False,False,False
VG_000031,CTR_d644046f,2026-04-01,2026-06-30,Language Access,22,medium,general,True,False,False
VG_000032,CTR_d644046f,2026-04-01,2026-06-30,Family Services,14,medium,general,False,False,False
VG_000033,CTR_3d860986,2026-04-01,2026-06-30,Food Support,13,medium,,False,False,False
VG_000034,CTR_3d860986,2026-04-01,2026-06-30,Legal Aid,26,low,general,False,False,False
VG_000035,CTR_0feb154b,2026-04-01,2026-06-30,Employment,16,high,general,False,False,False
VG_000036,CTR_1e4fed49,2026-04-01,2026-06-30,Food Support,9,high,,False,False,False
VG_000037,CTR_e17ebf8d,2026-04-01,2026-06-30,Legal Aid,12,high,,False,False,False
VG_000038,CTR_e17ebf8d,2026-04-01,2026-06-30,Language Access,24,low,general,True,False,False
VG_000039,CTR_6d88bcb9,2026-04-01,2026-06-30,Family Services,19,low,,False,False,False
VG_000040,CTR_1a67967f,2026-04-01,2026-06-30,Food Support,23,low,general,False,False,False
VG_000041,CTR_1a67967f,2026-04-01,2026-06-30,Family Services,20,low,general,False,False,False
VG_000042,CTR_1a67967f,2026-04-01,2026-06-30,General Support,33,medium,immigrant_newcomer,True,True,False
VG_000043,CTR_499564ba,2026-04-01,2026-06-30,General Support,8,medium,,False,False,False
VG_000044,CTR_7cf1dafa,2026-04-01,2026-06-30,Food Support,25,low,,False,False,False
VG_000045,CTR_9a67518b,2026-04-01,2026-06-30,Food Support,16,high,immigrant_newcomer,True,True,False
VG_000046,CTR_9a67518b,2026-04-01,2026-06-30,General Support,30,medium,immigrant_newcomer,True,True,False
VG_000047,CTR_9a67518b,2026-04-01,2026-06-30,Family Services,25,low,general,False,False,False
VG_000048,CTR_104d4597,2026-04-01,2026-06-30,Family Services,9,low,immigrant_newcomer,True,True,False
VG_000049,CTR_7b828194,2026-04-01,2026-06-30,Legal Aid,45,low,general,False,False,False
VG_000050,CTR_7b828194,2026-04-01,2026-06-30,Housing & Shelter,43,low,immigrant_newcomer,True,True,False
VG_000051,CTR_108f00c2,2026-04-01,2026-06-30,General Support,51,high,general,False,False,False
VG_000052,CTR_108f00c2,2026-04-01,2026-06-30,Family Services,17,medium,general,False,False,False
VG_000053,CTR_108f00c2,2026-04-01,2026-06-30,Food Support,32,low,general,False,False,False
VG_000054,CTR_fc52e760,2026-04-01,2026-06-30,Settlement Navigation,38,medium,general,False,True,False
VG_000055,CTR_56e87d9f,2026-04-01,2026-06-30,Employment,27,high,general,False,False,False
VG_000056,CTR_22e3a69a,2026-04-01,2026-06-30,Employment,16,medium,general,False,False,False
VG_000057,CTR_22e3a69a,2026-04-01,2026-06-30,Legal Aid,35,low,general,False,False,False
VG_000058,CTR_22e3a69a,2026-04-01,2026-06-30,Mental Health,9,medium,general,False,False,False
VG_000059,CTR_115acde5,2026-04-01,2026-06-30,Mental Health,24,high,immigrant_newcomer,True,True,False
VG_000060,CTR_115acde5,2026-04-01,2026-06-30,Legal Aid,37,low,immigrant_newcomer,True,True,False
VG_000061,CTR_261c339b,2026-04-01,2026-06-30,Settlement Navigation,23,medium,immigrant_newcomer,True,True,False
VG_000062,CTR_261c339b,2026-04-01,2026-06-30,General Support,9,low,general,False,False,False
VG_000063,CTR_88197aec,2026-04-01,2026-06-30,Employment,27,low,general,False,False,False
VG_000064,CTR_88197aec,2026-04-01,2026-06-30,Settlement Navigation,19,low,immigrant_newcomer,True,True,False
VG_000065,CTR_88197aec,2026-04-01,2026-06-30,General Support,20,medium,immigrant_newcomer,True,True,False
VG_000066,CTR_560ae014,2026-04-01,2026-06-30,Food Support,13,medium,,False,False,False
VG_000067,CTR_560ae014,2026-04-01,2026-06-30,Legal Aid,17,low,immigrant_newcomer,True,True,False
