name,lat,lon,service_category,address,borough
Old Brewery Mission (Webster Pavilion),45.5119,-73.5606,community_service_211,902 Boulevard Saint-Laurent,Ville-Marie
Maison du Père,45.5168,-73.5559,community_service_211,550 Boulevard René-Lévesque Est,Ville-Marie
Accueil Bonneau,45.5096,-73.5512,community_service_211,427 Rue de la Commune Est,Ville-Marie
Welcome Hall Mission (Mission Bon Accueil),45.4761,-73.5866,community_service_211,606 Rue de Courcelle,Le Sud-Ouest
Chez Doris (women's shelter),45.4931,-73.5808,community_service_211,1430 Rue Chomedey,Ville-Marie
La rue des Femmes,45.5086,-73.5662,community_service_211,1050 Rue Jeanne-Mance,Ville-Marie
Refuge des Jeunes de Montréal,45.5263,-73.5520,community_service_211,1836 Rue Sainte-Catherine Est,Ville-Marie
Dans la Rue (youth services),45.5241,-73.5559,community_service_211,1664 Rue Ontario Est,Ville-Marie
YWCA Montréal (Y des Femmes),45.4965,-73.5790,community_service_211,1355 Boulevard René-Lévesque Ouest,Ville-Marie
YMCA Centre-ville,45.5009,-73.5739,community_service_211,1440 Rue Stanley,Ville-Marie
Sun Youth (Jeunesse au Soleil),45.5172,-73.5871,food_bank,4251 Rue Saint-Urbain,Le Plateau-Mont-Royal
Moisson Montréal,45.4880,-73.6679,food_bank,6880 Chemin de la Côte-de-Liesse,Saint-Laurent
Maison Benoît Labre,45.4791,-73.5872,community_service_211,308 Rue Mongeau,Le Sud-Ouest
PROMIS (immigrant services),45.4641,-73.6421,community_service_211,3333 Chemin de la Côte-Sainte-Catherine,Côte-des-Neiges–Notre-Dame-de-Grâce
Centre Social d'Aide aux Immigrants (CSAI),45.4561,-73.5972,community_service_211,6201 Rue Laurendeau,Le Sud-Ouest
Maison d'Haïti,45.5610,-73.6190,community_service_211,3245 Avenue Émile-Journault,Villeray–Saint-Michel–Parc-Extension
CARI St-Laurent (newcomer services),45.5157,-73.6720,community_service_211,774 Boulevard Décarie,Saint-Laurent
La Maisonnée (immigrant services),45.5360,-73.6010,community_service_211,6865 Avenue Christophe-Colomb,Villeray–Saint-Michel–Parc-Extension
Carrefour Jeunesse-Emploi Centre-Sud / Plateau,45.5250,-73.5680,community_service_211,1635 Boulevard de Maisonneuve Est,Ville-Marie
Centre des femmes de Montréal,45.5045,-73.5650,community_service_211,3585 Rue Saint-Urbain,Ville-Marie
Bouffe-Action de Rosemont,45.5481,-73.5790,food_bank,2348 Rue Bélanger,Rosemont–La Petite-Patrie
Cuisine Collective Hochelaga-Maisonneuve,45.5443,-73.5476,food_bank,4243 Rue Ontario Est,Mercier–Hochelaga-Maisonneuve
Garde-Manger Pour Tous,45.5289,-73.5870,food_bank,5960 Avenue de Lorimier,Rosemont–La Petite-Patrie
La Corbeille Bordeaux-Cartierville,45.5301,-73.6790,food_bank,12225 Rue Grenet,Ahuntsic-Cartierville
Multicaf (Côte-des-Neiges food bank),45.4937,-73.6260,food_bank,3600 Avenue Barclay,Côte-des-Neiges–Notre-Dame-de-Grâce
Depot Community Food Centre (NDG),45.4710,-73.6130,food_bank,6450 Avenue de Monkland,Côte-des-Neiges–Notre-Dame-de-Grâce
Maison de Quartier Villeray,45.5430,-73.6250,community_service_211,660 Rue Villeray,Villeray–Saint-Michel–Parc-Extension
Carrefour d'Alimentation et de Partage St-Barnabé,45.5550,-73.5980,food_bank,1475 Rue Bélanger,Villeray–Saint-Michel–Parc-Extension
Resilience Montréal (Cabot Square),45.4900,-73.5840,community_service_211,3600 Boulevard Réné-Lévesque Ouest,Ville-Marie
Auberge Madeleine (women's shelter),45.5360,-73.5790,community_service_211,1140 Rue Joliette,Le Plateau-Mont-Royal
Le Chaînon (women's shelter),45.5170,-73.5950,community_service_211,4373 Avenue de l'Esplanade,Le Plateau-Mont-Royal
Maison Tangente (youth shelter),45.5560,-73.5500,community_service_211,5811 Avenue Pierre-De Coubertin,Mercier–Hochelaga-Maisonneuve
En Marge 12-17 (youth shelter),45.5230,-73.5640,community_service_211,1066 Rue Sainte-Catherine Est,Ville-Marie
Centre communautaire Bon Courage de Place Benoît,45.5160,-73.6850,community_service_211,7240 Rue de Nantes,Saint-Laurent
Carrefour Communautaire Montrose,45.6030,-73.6360,community_service_211,5350 Boulevard Léger,Montréal-Nord
Halte-femmes Hochelaga-Maisonneuve,45.5500,-73.5430,community_service_211,1705 Rue de Rouen,Mercier–Hochelaga-Maisonneuve
