name,lat,lon,service_category
Moisson Montréal (Warehouse/HQ),45.5311,-73.6217,food_bank
Dépannage Alimentaire Côte-des-Neiges,45.4937,-73.626,food_bank
Garde-manger Pour Tous,45.529,-73.587,food_bank
La Corbeille (Villeray),45.5538,-73.6123,food_bank
La Maison du Partage de Youville,45.5196,-73.5591,food_bank
Dépannage Alimentaire NDG,45.4727,-73.6148,food_bank
Centre Évangélique Bethel (Parc-Extension),45.5367,-73.6332,food_bank
Dépannage Alimentaire Mercier-Hochelaga,45.561,-73.5488,food_bank
Dépannage Alimentaire Pointe-Saint-Charles,45.4678,-73.5648,food_bank
La Ressourcerie alimentaire Saint-Laurent,45.5078,-73.689,food_bank
Dépannage Alimentaire Rosemont,45.5481,-73.5955,food_bank
Le Comptoir alimentaire Hochelaga,45.5443,-73.5476,food_bank
