name,address,phone,email,website,lat,lon,service_category,source
Centre d’aide aux victimes d’actes criminels (CAVAC),Adresse confidentielle,514 277-9860,reception@cavacmontreal.qc.ca,https://cavac.qc.ca/,,,community_service_211,reseaumtlnetwork_index
Commission de développement économique des Premières Nations du Québec et du Labrador,"265 Place Chef Michel Laveau suite 200, Québec, QC G0A 4V0, Canada",418 843-1488,info@cdepnql.org,https://cdepnql.org/,,,community_service_211,reseaumtlnetwork_index
Musique Nomade,"1208 Rue Beaubien E #104, Montréal, QC H2S 1T7, Canada",514 400-0452,info@musiquenomade.com,https://www.musiquenomade.com,,,community_service_211,reseaumtlnetwork_index
First Nations Regional Adult Education Centre,"1679 Rue Mohawk, Kahnawake, QC J0L 1B0, Canada",450 635-6352,reception@fnraec.com,https://www.fnraec.org/,45.410093,-73.6895193,community_service_211,reseaumtlnetwork_index
Centre universitaire de santé McGill,"1650 Avenue Cedar, Montréal, QC, Canada",514 934-1934,communications@muhc.mcgill.ca,https://cusm.ca/,45.4974608,-73.5883379,community_service_211,reseaumtlnetwork_index
Collège Dawson,"3040 Sherbrooke St W, Montréal, Québec H3Z 1A4, Canada",514-931-8731,admissions@dawsoncollege.qc.ca,https://fr.dawsoncollege.qc.ca/,45.4896116,-73.5875821,community_service_211,reseaumtlnetwork_index
Saralikitaaq – Centre communautaire de pédiatrie sociale,"757 Rue des Seigneurs, Montréal, QC H3J 1Y2, Canada",438 380 6476,info@saralikitaaq.com,https://fr.miyoskamin.com/saralikitaaq-clinic,45.4901907,-73.573161,community_service_211,reseaumtlnetwork_index
Université Concordia,"1400 de Maisonneuve West, Maisonneuve Boulevard West, Montréal, QC, Canada",514 848-2424,study@concordia.ca,https://www.concordia.ca/fr.html,,,community_service_211,reseaumtlnetwork_index
Saturviit Association des Femmes Inuit du Nunavik,"620 Chemin du Bord-du-Lac-Lakeshore suite 304, Dorval, QC H9S 2B6, Canada",1 866 944-5003,centre@saturviit.ca,https://saturviit.ca/,,,community_service_211,reseaumtlnetwork_index
Centre de justice des premiers peuples de Tiohtià:ke / Montréal,"3500 Av. Laval, Montréal, QC, Canada",514 840-9485,info@justicemontreal.ca,https://cjppm.org/,45.5158766,-73.5703981,community_service_211,reseaumtlnetwork_index
Femmes Autochtones du Québec,"Kahnawake Business Complex, River Road, Kahnawake, QC J0L 1B0, Canada",450 632-0088,info@faq-qnw.org,https://faq-qnw.org,,,community_service_211,reseaumtlnetwork_index
Cercle des Premières Nations de l’UQAM,"315 Rue Sainte-Catherine Est, Montréal, Québec, Canada",514 987-3000 poste 6793,cpn@uqam.ca,https://cpn.uqam.ca/,45.5133555,-73.5611516,community_service_211,reseaumtlnetwork_index
Miyoskamin,"757 Rue des Seigneurs, Montréal, QC, Canada",438 883-6728,info@miyoskamin.com,https://www.miyoskamin.com/,45.4901907,-73.573161,community_service_211,reseaumtlnetwork_index
La Porte Ouverte Montréal,"3535 Avenue du Parc, Montréal, QC, Canada",514 939-1970,info@opendoortoday.org,https://www.opendoortoday.org/,45.5099852,-73.5741779,community_service_211,reseaumtlnetwork_index
Université McGill,"845 Sherbrooke Street West, Montréal, QC, Canada",514 398-7878,info.conted@mcgill.ca,https://www.mcgill.ca/fr,45.4940668,-73.5839432,community_service_211,reseaumtlnetwork_index
Makivvik,"1111 Bd Dr.-Frederik-Philips, Saint-Laurent, QC, Canada",514 745-8880,reception@makivvik.ca,https://www.makivvik.ca/fr/,45.496184,-73.7018326,community_service_211,reseaumtlnetwork_index
Cégep John Abbott,"21275 Lakeshore Road, Sainte-Anne-de-Bellevue, QC, Canada",514 457-6610 ext. 5098,admissions@johnabbott.qc.ca,https://johnabbott.qc.ca/fr/,,,community_service_211,reseaumtlnetwork_index
Association Tasiutigiit,Adresse confidentielle,438 799-5544,tasiutigiit@gmail.com,https://tasiutigiit.org/?lang=fr,,,community_service_211,reseaumtlnetwork_index
Foyer pour Femmes autochtones de Montréal,Adresse confidentielle,514 933-4688,contactus@nwsm.info,https://www.nwsm.info/,,,community_service_211,reseaumtlnetwork_index
Cégep Vanier,"821 Avenue Sainte-Croix, Saint-Laurent, QC, Canada",514 744-7500,info@vaniercollege.qc.ca,https://www.vaniercollege.qc.ca/fr/programmes,45.5146496,-73.674643,community_service_211,reseaumtlnetwork_index
