name,address,postal_code,lat,lon,service_category,type
HÔPITAL DU SACRÉ-COEUR-DE-MONTRÉAL,"5400, boulevard Gouin Ouest",H4J1C5,45.53260040283203,-73.71399688720703,community_service_211,Hospital
HÔPITAL MAISONNEUVE-ROSEMONT,"5415, boulevard de l'Assomption",H1T2M4,45.57419967651367,-73.55850219726562,community_service_211,Hospital
INSTITUT UNIVERSITAIRE DE GÉRIATRIE DE MONTRÉAL,"4565, chemin Queen-Mary",H3W1W5,45.49100112915039,-73.6238021850586,community_service_211,Hospital
MAISON DE NAISSANCE DE CÔTE-DES-NEIGES,"6560, chemin de la Côte-des-Neiges",H3S2A7,45.50189971923828,-73.6353988647461,community_service_211,CLSC
CENTRE D'HÉBERGEMENT ET DE SERVICES AMBULATOIRES CHAMPLAIN,"1325, rue Crawford",H4H2N6,45.43880081176758,-73.58679962158203,community_service_211,Hospital
HÔPITAL DE VERDUN,"4000, boulevard LaSalle",H4G2A3,45.4640998840332,-73.56400299072266,community_service_211,Hospital
CLSC DE LA VISITATION ET GROUPE DE MÉDECINE DE FAMILLE UNIVERSITAIRE DES FAUBOURGS,"1705, rue de la Visitation",H2L3C3,45.52109909057617,-73.55889892578125,community_service_211,CLSC; Hospital
HÔTEL-DIEU DE MONTRÉAL,"3840, rue Saint-Urbain",H2W1T8,45.51390075683594,-73.5781021118164,community_service_211,Hospital
CENTRE DE RÉADAPTATION POUR LES JEUNES EN DIFFICULTÉ D'ADAPTATION DU MONT SAINT-ANTOINE,"8147, rue Sherbrooke Est",H1L1A7,45.5989990234375,-73.53569793701172,community_service_211,Youth rehab
FOYER DE GROUPE POUR LES JEUNES EN DIFFICULTÉ D'ADAPTATION DE LACHINE,"749, 25e Avenue",H8S3X7,45.44340133666992,-73.68679809570312,community_service_211,Youth rehab
FOYER DE GROUPE POUR LES JEUNES EN DIFFICULTÉ D'ADAPTATION GOUIN,"4350, boulevard Gouin Ouest",H4J1B6,45.537899017333984,-73.71070098876953,community_service_211,Youth rehab
FOYER DE GROUPE POUR LES JEUNES EN DIFFICULTÉ D'ADAPTATION GODBOUT,"9038, rue de Godbout",H8R2H6,45.41999816894531,-73.63310241699219,community_service_211,Youth rehab
CENTRE DE RÉADAPTATION POUR LES JEUNES EN DIFFICULTÉ D'ADAPTATION DOMINIQUE-SAVIO,"9335, rue Saint-Hubert",H2M1Y7,45.553199768066406,-73.64630126953125,community_service_211,Youth rehab
ATELIER DE TRAVAIL LABROSSE,"215, avenue Labrosse",H9R1A3,45.47380065917969,-73.8240966796875,community_service_211,Disability/Autism
CENTRE DE RÉADAPTATION EN DÉFICIENCE INTELLECTUELLE ET EN TROUBLES DU SPECTRE DE L'AUTISME MARIE-BOURASSA,"5695, avenue des Marronniers",H1T2W3,45.570098876953125,-73.5625991821289,community_service_211,Disability/Autism
