name,lat,lon,service_category,address,type,source
Table des regroupements provinciaux d'organismes communautaires et bénévoles,45.512774,-73.569663,community_service_211,,community_centre,openstreetmap
Centre communautaire Saint-Antoine 50+,45.487705,-73.577674,community_service_211,850 Rue Dominion,community_centre,openstreetmap
Comité logement de la Petite-Patrie,45.536135,-73.61177,community_service_211,6839 A Rue Drolet,outreach,openstreetmap
Société Générale des Étudiants et Étudiantes du Collège de Maisonneuve,45.550533,-73.55333,community_service_211,3800 D-2617 Sherbrooke Est,social_centre,openstreetmap
Spectre de Rue,45.521857,-73.561795,community_service_211,1280 Rue Ontario Est,outreach,openstreetmap
Centre de soir Denise-Massé,45.519189,-73.560623,community_service_211,1713 Rue Atateken,community_centre,openstreetmap
L'asterisk,45.518474,-73.559065,community_service_211,1575 Rue Atateken,community_centre,openstreetmap
Dîners Saint-Louis,45.534611,-73.577759,community_service_211,1818 Rue Gilford,social_facility,openstreetmap
Comité de base pour l’action et l’information sur le logement social d’Hochelaga-Maisonneuve,45.553696,-73.533234,community_service_211,1455 Avenue Bennett,outreach,openstreetmap
Dopamine,45.553567,-73.53351,community_service_211,1473 Avenue Bennett,outreach,openstreetmap
La Caserne 18-30,45.547397,-73.550793,community_service_211,3622 Rue Hochelaga,social_centre,openstreetmap
Badminton Québec,45.561288,-73.542281,community_service_211,4930 Rue Hochelaga,social_centre,openstreetmap
Maison des Jeunes Point de Mire,45.465129,-73.566665,community_service_211,3882 Rue Wellington,community_centre,openstreetmap
Café Sésame,45.600475,-73.520251,community_service_211,8628 Rue Hochelaga Est,community_centre,openstreetmap
Centre d'Hébergement Judith-Jasmin,45.60646,-73.529842,community_service_211,8850 Rue Bisaillon,nursing_home,openstreetmap
Centre d'Hébergement Biermans,45.596241,-73.536538,community_service_211,7905 Rue Sherbrooke Est,nursing_home,openstreetmap
Centre d'Hébergement Pierre-Joseph-Triest,45.600508,-73.53551,community_service_211,4900 Boulevard Lapointe,nursing_home,openstreetmap
Centre de services communautaires du Monastère,45.525348,-73.581007,community_service_211,4450 Rue Saint-Hubert,community_centre,openstreetmap
Centre d'Hébergement François-Séguenot,45.666908,-73.493499,community_service_211,13950 Rue Notre-Dame Est,nursing_home,openstreetmap
Compagnons de Montréal,45.550331,-73.589886,community_service_211,2602 Rue Beaubien Est,social_centre,openstreetmap
Loisirs communautaires Saint-Michel,45.556409,-73.599206,community_service_211,7110 8e Avenue,community_centre,openstreetmap
Les Petites Mains,45.53683,-73.623496,community_service_211,7595 Boulevard Saint-Laurent,social_centre,openstreetmap
Centre des Loisirs de Saint-Laurent,45.514159,-73.690889,community_service_211,1375 Rue Grenet,community_centre,openstreetmap
Cummings Centre for Senoirs,45.489497,-73.636848,community_service_211,5700 Avenue de Westbury,community_centre,openstreetmap
Café Graffiti,45.546432,-73.536525,community_service_211,3894 Rue Sainte-Catherine Est,social_facility,openstreetmap
Dopamine,45.55143,-73.540681,community_service_211,4205 Rue Ontario Est,ambulatory_care,openstreetmap
Cuisines Collectives du Grand Plateau,45.523966,-73.575012,community_service_211,4095 Rue Saint-André,social_facility,openstreetmap
Midnight's Kitchen,45.503401,-73.578073,food_bank,3480 Rue McTavish,food_bank,openstreetmap
Union française de Montréal,45.512286,-73.555519,community_service_211,429 Avenue Viger Est,community_centre,openstreetmap
Dans la Rue,45.525234,-73.559668,community_service_211,1662 Rue Ontario Est,outreach,openstreetmap
Centre communautaire Elgar,45.456867,-73.547446,community_service_211,262 Rue Elgar,community_centre,openstreetmap
Chabad of The Town,45.500664,-73.644639,community_service_211,4054 Rue Jean-Talon Ouest,community_centre,openstreetmap
Centre d'hébergement de Saint-Laurent,45.517184,-73.679669,community_service_211,1275 Boulevard de la Côte-Vertu,nursing_home,openstreetmap
Centre D'Hébergement Saint-Vincent-Marie,45.517528,-73.679412,community_service_211,,nursing_home,openstreetmap
Centre Alex Manoogian,45.517219,-73.667156,community_service_211,805 Rue Manoogian,community_centre,openstreetmap
Centre culturel arménien Tékéyan,45.516656,-73.667434,community_service_211,825 Rue Manoogian,community_centre,openstreetmap
Maison des Sourds,45.555622,-73.618227,community_service_211,2200 Boulevard Crémazie Est,social_facility,openstreetmap
Diversité des Sourds du Québec,45.555627,-73.618211,community_service_211,2200 Boulevard Crémazie Est,social_facility,openstreetmap
Entraide Ahuntsic-Nord,45.552374,-73.671872,community_service_211,10780 Rue Laverdure,social_facility,openstreetmap
