dataset_name,source_url,downloaded_by,downloaded_date,license_or_use_note,geography_level,known_limitations
statcan_2021_montreal_ct_variables.csv,https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/download-telecharger.cfm (98-401-X2021007),Laura,2026-06-23,Open Government Licence – Canada,census tract,"Five locked vulnerability variables + indigenous_identity_pct/count/universe (char 1402/1403). 986 of 1004 CTs have Indigenous data; 18 blank where suppressed. Reproduced by scripts/data_pipeline/build_census_ct_variables.py."
boundaries/ct_centroids_montreal.csv,https://www12.statcan.gc.ca/census-recensement/2021/geo/sip-pis/boundary-limites/ (lct_000b21a_e),Laura,2026-06-23,Open Government Licence – Canada,census tract,"Centroids from the 2021 cartographic CT boundary file (EPSG:4326). build_geography.py."
boundaries/montreal_boroughs.geojson,https://donnees.montreal.ca (Limites administratives de l'agglomération),Laura,2026-06-23,CC BY 4.0,borough,"11 official administrative polygons used to build 12 stable frontend areas. A001/A002 use a documented centroid partition inside their shared official polygon. build_geography.py + scripts/build_area_boundaries.py."
database_centers.csv,Multiple — see rows below,Laura,2026-06-23,Mixed,center,"4,255 service points: 3,476 recreation, 100 cultural, 653 community/social, 26 food. Cross-source coincident dedup applied to social categories. Recreation/culture are activity proxies."
service_sources/lieux_culturels.csv,https://donnees.montreal.ca (Lieux culturels),Laura,2026-06-23,CC BY 4.0,center,"100 libraries, maisons de la culture, museums."
service_sources/installations_recreatives_shp.zip,https://donnees.montreal.ca (Installations récréatives),Laura,2026-06-23,CC BY 4.0,center,"3,476 recreation/sport installations (shapefile point geometry)."
service_sources/msss_montreal.csv,https://www.donneesquebec.ca/recherche/dataset/repertoire-des-installations (M02),Laura,2026-06-23,Open Government Licence – Québec,center,"215 Montréal (RSS 6) health/social facilities: CLSC, hospital (CHSGS), psychiatric, addiction, disability, youth protection/rehab. CHSLD residential excluded."
service_sources/osm_social_services.csv,https://overpass-api.de (OpenStreetMap),Laura,2026-06-23,ODbL — © OpenStreetMap contributors,center,"412 community centres, social facilities, shelters, charities, food banks. Crowd-sourced; coverage/tagging varies."
service_sources/community_services_curated.csv,Public directories,Laura,2026-06-23,Public directories — coordinates approximate,center,"~36 curated shelters, newcomer, women's/youth services."
service_sources/indigenous_services_index.csv,https://reseaumtlnetwork.com (INDex),Laura,2026-06-23,Research use; © contributors,center,"42 Indigenous orgs scraped + geocoded (Nominatim); 24 mappable, 18 confidential/no street address."
