ct_code,dguid,geo_name,population_2021,low_income_pct,seniors_65plus_pct,recent_immigrant_pct,no_official_language_pct,shelter_cost_burden_pct,indigenous_identity_pct,indigenous_identity_count,total_indigenous_identity_universe
4620001,2021S05074620001.00,4620001,2684,14.5,16.8,2.92,1.14,23.91,1.36,35,2570
4620002,2021S05074620002.00,4620002,3780,17.4,16.3,4.22,0.66,22.37,2.64,100,3790
4620003,2021S05074620003.00,4620003,6600,15.8,18.1,3.92,1.68,19.93,1.28,85,6640
4620004,2021S05074620004.00,4620004,3355,14,18.2,5.7,0.9,24.23,1.9,60,3160
4620005,2021S05074620005.00,4620005,3175,16.1,18.4,2.99,0.63,22.56,1.89,60,3180
4620006,2021S05074620006.00,4620006,4611,17.2,13.5,5.55,1.85,19.32,1.85,85,4595
4620007,2021S05074620007.00,4620007,5655,13.9,19.1,2.92,0.8,17.13,2.39,135,5640
4620008,2021S05074620008.00,4620008,3104,12.7,15.1,1.63,0.64,16.34,3.09,95,3070
4620009,2021S05074620009.00,4620009,3554,14.7,13.3,3.03,1.27,18.29,1.01,35,3465
4620010,2021S05074620010.00,4620010,1494,12.9,14,1.63,1.02,21.48,0.97,15,1540
4620011,2021S05074620011.00,4620011,6439,13.9,25.5,3.58,1.49,18.37,0.79,45,5725
4620012.01,2021S05074620012.01,4620012.01,2547,25.3,19.6,6.2,3.14,21.57,0.58,15,2580
4620012.02,2021S05074620012.02,4620012.02,4163,24.7,20.4,6.91,2.49,24.75,1.51,60,3980
4620013,2021S05074620013.00,4620013,5694,13.6,26.2,5.69,0.93,29.53,0.95,50,5270
4620014.02,2021S05074620014.02,4620014.02,0,,,,,,,,
4620014.03,2021S05074620014.03,4620014.03,3363,22.6,10.9,5.06,1.64,19.43,0.74,25,3360
4620014.04,2021S05074620014.04,4620014.04,4187,14.5,11.5,3.7,0.73,22.68,0.99,40,4055
4620015,2021S05074620015.00,4620015,4089,19,9.8,3,0.5,21.78,1.62,65,4010
4620016,2021S05074620016.00,4620016,2470,18.9,14,2.69,0.22,19.67,1.35,30,2230
4620017,2021S05074620017.00,4620017,2131,17.9,10.8,1.91,0.23,24.79,1.67,35,2095
4620018,2021S05074620018.00,4620018,2013,18.7,10.2,5.21,0,29.31,1.98,40,2020
4620019,2021S05074620019.00,4620019,2398,21,15,2.74,0.84,14.96,1.48,35,2365
4620021,2021S05074620021.00,4620021,3028,24.2,9.4,2.02,0.5,20.92,1.01,30,2965
4620022,2021S05074620022.00,4620022,1527,15.3,8.9,2.68,0.33,23.12,3.33,50,1500
4620023,2021S05074620023.00,4620023,1238,20.2,8.5,5.56,0.81,18.25,0.79,10,1265
4620024,2021S05074620024.00,4620024,2544,18.5,9.4,6.29,0.79,19.71,1.18,30,2540
4620025,2021S05074620025.00,4620025,3018,17.6,10.9,4.75,0.34,25.41,3.87,110,2845
4620026,2021S05074620026.00,4620026,2519,19.5,11.1,4.83,0.79,21.64,2.12,55,2590
4620027,2021S05074620027.00,4620027,1629,15.6,8,5.03,0.31,23.03,0.63,10,1585
4620028,2021S05074620028.00,4620028,2058,14.9,7.5,5.76,0.24,24.45,2.64,55,2085
4620029,2021S05074620029.00,4620029,4027,16.5,11.6,4.45,0.64,19.9,1.65,65,3935
4620030,2021S05074620030.00,4620030,3506,21.6,11.7,6.29,1.44,28.57,1.05,35,3340
4620031,2021S05074620031.00,4620031,2803,20.6,9.6,3.96,1.07,26.81,0.54,15,2775
4620032,2021S05074620032.00,4620032,1497,22.6,7.3,6.46,0.67,29.57,1.02,15,1475
4620033,2021S05074620033.00,4620033,1752,21.7,9.1,7.47,0.86,29.65,0.86,15,1745
4620034,2021S05074620034.00,4620034,2825,23.2,9.2,5.48,2.86,25.66,1.76,50,2835
4620035,2021S05074620035.00,4620035,2015,19.6,7.9,6.53,0.74,23.21,2.26,45,1990
4620036,2021S05074620036.00,4620036,2103,21,5.9,4.22,1.45,26.07,1.24,25,2015
4620037,2021S05074620037.00,4620037,3452,27.4,23.8,4.82,1.16,30.5,0.73,25,3420
